no,ulasan,GT
625,"
Sepiiiii...... hanya ada 2X penerbangan citilink dan batik air ....... warung tak semua buka apalagi penjual oleh2 tak ada",TD
626,"
Jauh",N
627,"
Sip",D
628,"
Kecil kecil cabe rawit, kereeen.",D
629,"
tempat yang rapi",D
630,"
Usul perbaikan kecil: 1) Mohon petugas scan covid 19 tidak terlambat. 2) Usul agar ada kotak almari minum aqua dst yang bisa dibeli dg koin maupun uang kertas baik di ruang tunggu lantai 2 maupun lantai 1 saat check in. Terasa akan nyaman bila ada itu. Hal hal lain sudah bagus dan bersih. Terimakasih.",TD
631,"
Saat cek validasi dibuka jam setengah 10, aku sudah berada di bandara jam 8 pagi. Kepagian, dann tak masalahh hehe. Untuk pengalaman pertamaku sendiri ke bandara, menurutku petugasnya kurang ramah krn banyak yg diam saja saat ada orang2 yg akan naik pesawat.",TD
632,"
Bandara yg kecil namun berkesan",D
633,"
Sepii",TD
634,"
Bandaranya lumayan bagus, walaupun perlu peremajaan dan penambahan fasilitas umum, terutama di Terminal Kedatangan.",D
635,"
Bandara kota Malang",N
636,"
Mantap",D
637,"
Coba perhatikan pintu kamar mandinya",N
638,"
...ketat seperti seharusnya...mantaaab...",D
639,"
Bandara Abd.Saleh sekarang sdh memenuhi utk jadi bandara rujukan krn sdh mempunyai kedatangan dan pemberangkatan secara terpisah dlm satu lokasi",D
640,Daerah yang sangat bagus dan banyak tempat menarik untuk bandara kecil,D
641,"
Ruang kedatangan kurang luas",TD
642,"
Yg pasti petugas di bandara dan driver taxinya pada ramah2 smua... suhu udaranya nyeees adeeem..",D
643,"
Klaim bagasi nya sempit",TD
644,"
Edisi gowes cari sarapan pecel",N
645,"
Salah satu bandara paling representatif jika memiliki tujuan ke Jakarta atau transit selanjutnya... Dengan adanya Pendemi ada hal yang membuat beberapa outlet tutup dan jadwal penerbangan hanya 1 maskapai yaitu Batik Air... Dan itupun 1 kali penerbangan di hari kerja, semoga Pendemi segera selesai sehingga bisa kembali sedia kala jadwal penerbangan ya ng sebelumnya.",D
646,"
Bandara kecil",TD
647,"
Buagus banget. Cobain deh.....maknyuss!!",D
648,"
Bandaranya kecil",N
649,"
Maaf , mohon infonya bapak/ibu kalau Ada loker jadi customer servis atau bagian pelayanan,saya lulusan tadika puri malangðŸ™ðŸ™ðŸ˜ŠðŸ˜Š",N
650,"
sedikit kotor saat ini",TD
651,"
Bandara Internasional di Wilayah Malang Raya",N
652,"
Bagus, bersih, nyaman",D
653,"
Bersih, nyaman, aman, petugas ramah2.
Losss gak rewel",D
654,"
Sepi pada pandemik ini",N
655,"
Tidak terbuka.
Serasa ada penguasa yg selalu mencurigai pengendara mobil masuk. Dikira ojol dan diintrogasi dgn kasar.
Taksi bandaranya mahal, terkesan maksa dan banyak yg kurang ramah.
Hanya satu-satunya angkutan umum (taksi) di sana.
Segera perbaiki agar Malang tetap ramah.",TD
656,"
Bandara terdekat",N
657,"
Masih tutup waktu kesini",N
658,"
Sudah beberapa kali merasakan turun dan terbang dari bandara ini. Sebelum pandemi Covid-19 ini memang ramai terhitung dari jam 8 pagi sampai jam 3 sore. Namun, pada saat pandemi aktivitas penerbangan pun berkurang. Pelayanannya cuku baik namun sayangnya, prasarana seperti toilet disini saya rasa masih kurang.",TD
659,"
Bandara yg bersih nyaman.. namun sejak pandemi bandara ini agak sepi karena penerbangan banyak berkurang.",D
660,"
Bagus vasilitasnya",D
661,"
Bandara kecil tapi praktis. Paling sering pakai rute malang jakarta. Berharap bandara ini semakin terhubung dengan moda lain, dan lebih banyak rutenya. ruang tunggu diluar kurang nyaman dan sempit.",TD
662,"Bandara yang terletak di kota Malang, dan siapa yang tidak mengunjungi kota Malang dan Batu, ia merindukan kesenangan di salah satu pedesaan terindah di Indonesia (Batu), yang memadukan alam, cuaca dingin, dan keramahannya. orang, dan tidak terpengaruh oleh beberapa turis Arab yang negatif.",N
663,"
Pelayanan cukup baik dan fasilitas lumayan lengkap, utk perawatan kamar mandi agar lebih diperhatikan",D
664,"
Di masa pandemi, Bandaranya sepi.",N
665,"
Pelayanan ramah Dan harga taksi rasionable",D
666,"
Masih asri",D
667,"
Prokes dijalankan dengan baik. Banyak restoran dan tempat minum kopi yang tutup.",D
668,"
Bandaranya kecil tapi bersih dan pelayanannya juga baik.",D
669,"
Bagi traveler pesawat agar sebelum masuk ke pintu masuk bandara supaya cek in dulu di luar / di depan gedung bandara pada sisi kiri atau kanan ( tergantung maskapai nya) nanti petugas akan cek surat bukti bebas covid serta setelah itu anda dapat surat antri masuk , baru anda boleh masuk ke dalam gedung nya....",N
670,"
Karyawan maskapai, kesehatan, wrapping ... senua ramah dan sangat membantu. Sayangnya di bandara ini belum tersedia fasilitas untuk swab covid-19. Calon penumpang jg harus cekin online dulu menggunakan hp.",D
671,"
Bagus... parkiran nyaman luas.",D
672,"
oke banget...",D
673,"
bersih.",D
674,"
Sudah jauh berubah sejak pertama kali di buka untuk umum",D
675,"
Petugas bagus , ramah , sopan & ruang tunggu nyaman , kuliner enak harga murah",D
676,"
Lumayan",D
677,"
Bandara dgn pemandangan cantik ðŸ¥°",D
678,"
Mayan lah ya",D
679,"
Untuk lahan parkir kurang terawat kebersihannya, selebihnya baik",TD
680,"
Bandara ditengah kota malang yg tenang",D
681,"
bandara nya tidak besar, tidak ramai, cepat untuk antrian nya dan cukup nyaman dgn fasilitas yg ada",D
682,"
Mohon area bandara diperluas dan ditambah frekuensi terbang untuk waktu pagi dan malam hari.",TD
683,"
Alhamdulillah mudah di akses",D
684,"
Parkir tidak teratur. banyak mobil parkir sembarangan dibiarkan. tolong lebih ditertibkan lagi",TD
685,"
Ramah",D
686,"
Tempat parkir kotor banyak rumput liar sama daun2 plus sampah berserakan",TD
687,"
Ini adalah Kali pertama saya datang ke Malang dan mengunakan peswat, untuk bandaranya adem, kecil dan mungil, fasilitas umumnya seperti Toilet Masih sedikit, kebersihan menurut saya cukup Bagus , walaupun ada beberapa pintu yg rusak.",D
688,"
Tertata rapi & simple",D
689,"
Bandara ini merupakan salah satu Bandara Internasional yang ada di Jawa Timur. Cukup bersih dan asri. Masih termasuk dalam lahan milik TNI AU bandara ini memiliki luasan yang tidak terlalu luas. Namun, di sekitar area bandara masih sangat asri dipenuhi kebun tebu dan jagung. Untuk penumpang yang datang ke Malang, tidak bisa memesan layanan taxi online,namun bisa menggunakan layanan Taxi Bandara.",D
690,"
Alhamdulillah bandara kebanggaan orang Malang, pelayanan ramah",D
691,"
Walaupun bandaranya kecil tapi nyaman.",D
692,"
Fasilitas seperti toilet ruang tunggu cukup nyaman",D
693,"
Bandara nyaman, namun Fasilitas Umum semisal Ojek dan Mobil Online tidak tersedia. Ini sudah selayaknya diperhatikan.",TD
694,"
Bandar Udara Abdulrachman Saleh
Terletak di Jalan. Komodor Udara Abdul Rahman Saleh, Krajan, Bunut Wetan, Kecamatan. Pakis, Malang, Jawa Timur 65154 atau 17 km arah timur dari pusat Kota Malang.

Pada saat pandemi seperti ini pastikan kondisi tubuh sehat saat mau bepergian",N
695,"
Lumayan bagus tapi sayangnya pembatasan/pelarangan Taxi online masuk ke Bandara",TD
696,"
Sangat nyaman",D
697,"
bersih",D
698,"
Pengambilan bagasi cepat",D
699,"
Rapi dan bersih, good job",D
700,"
Pelayanan sangat ok, namun pada area kedatangan perlu di rehab lagi",D
