no,ulasan,GT
2157,"
Pasar besar kota malang adalah salah satu ikon kota malang. Di pasar ini tersedia berbagai mcm kebutuhan dari bumbu dapur, buah2an, sembako sampai pakaian. Letaknya strategis berada ditengah kota dan termasuk di lingkaran perdagangan kota malang. Jam buka pagi sampai jam 4 sore. Utk mlm banyak jajanan kuliner disekitarnya.",D
2158,"
Mantap maju",D
2159,"bagus
",D
2160,"
Bagus",D
2161,"
Pasar terlengkap dimlg",D
2162,"
Beli baraang di Santoso pasar besar jauh lebih murah",D
2163,"
Pasar yang selalu jadi andalan untuk mencari berbagai macam kebutuhan, dari pakaian, sepatu, kain sandal bahkan bahan untuk masak didapurpun lengkap ada disini. Untuk harganya relatif ya, jika kita bisa menawar dengan baik alangkah lebih baik, karena itu sangat dibutuhkan disini. Untuk pakaian,sepatu,sandal dll bisa di jumpai dilantai atas sedangkan untuk bahan masakan dilantai bawah",D
2164,"
Besar sekali",D
2165,"
Pedagangnya ramah ramah dan santun, tempatnya luas dan lengkap, mulai dari sayur, buah, pakaian, sampai makanan ringan ada semua, tempatnya bersih, teratur dan rapi",D
2166,"
Rekomended",D
2167,"
Tempatnya bersih terjangkau SM angkutan",D
2168,"
Pasar legend, suasana dari pertama kemari pas kecil hingga beranak pinak masih sama ðŸ˜…",D
2169,"
Pasar terlengkap di kota malang",D
2170,"
Lengkap bisa di tawar",D
2171,"
Berbagai kebutuhan tersedia disiniðŸ‘",D
2172,"
Biasa aja sih....",N
2173,"
Pasar besar yang cukup lengkap dan yang terbesar di kota Malang. Segala jenis barang ada di sini, baik berdasarkan kualitas maupun harga. Mulai sayur, bumbu dan lauk, peralatan dapur dan rumah tangga, perhiasan serta pakaian luar dan dalam.

Hanya sayangnya konstruksi bangunan pasar kurang mendukung. Jika hujan lebat seringkali air hujan dari atas mengalir deras lewat tangga.",D
2174,"
Pasar model tradisional tp lebih bersih",D
2175,"
Segala perlengkapan hampir tersedia",D
2176,"
Pemerintah daerahnya kemana kok becek dan kotor",TD
2177,"
Pasar lengkap",D
2178,"
Ramai lgkp murah cuma kurang bersih aja",TD
2179,"
Okeee",D
2180,"
Padatt....aroma pasar yang begitu khas sangat menusuk ke hidung.",TD
2181,"
Memory waktu kecil",N
2182,"
Tertata",D
2183,"
Futsal 609 latihan disini.. tempatnya representatit",D
2184,"
Dari kecil sampe sekarang ini tempat menjadi tempat tervaforiit kalau belanjaaa",D
2185,"
Macet, trotoar banyak pedagang...",TD
2186,"
Tempat yg bagus",D
2187,"
Pasar nya sangat rame banyak penjual suka belanja bersama ortu disana",D
2188,"
biasa aja",N
2189,"
Apa aja ada.",D
2190,"
Parkir luas",D
2191,"
Bagus",D
2192,"
Semua kebutuhan tersedia",D
2193,"
Bisa belanja apa aja",D
2194,"
Pasarnya cukup besar dan cukup lengkap hanya agak kurang terawat",TD
2195,"
Pasar yg tetap bertahan meskipun banyak pasar modern",D
2196,"
Ramai pengunjung",D
2197,"
Kasian yang jual... Tempatny kurang terawat...",TD
2198,"
bersih dan nyaman",D
2199,"
Terlalu kotor di dalam",TD
2200,"
Du lantai 2 banyak yg bau pesing",TD
2201,"
Belanja di toko jaket yg pintu 13 blok timur,penjualnya ramah,murah senyum barangnya bagus2 lagi,the best dah...",D
2202,"
pasarnya bersih ya... barang2 nya juga murah2...",D
2203,"
Pasar besar yang benar benar besar",D
2204,"
Pasar e kera ngalam",N
2205,"
pasar besar kota malang datang kesini jam 8.30 pagi banyak toko masih tutup belum buka",N
2206,"
Barokallah",D
2207,"
Lengkap banget mau cari apapun disini",D
2208,"
Lumayan bersih pasarnya",D
2209,"
Lengkap.. Tp parkir mobil nya cukup sulit",TD
2210,"
Jurang wugu",N
2211,"
Pasar banyak stand yg kosong dan cukup kumuh. Tapi lumayan lengkap kebutuhan yg bisa kita cari Disana. Mulai pakaian, buah, sayur dan daging juga ada.",TD
2212,"
Lengkap ðŸ‘",D
2213,"
Semrawut",TD
2214,"
Lengkap harga terjangkau",D
2215,"
Bgus",D
2216,"
Bagus bersih",D
2217,"
Sering nyasar.",TD
2218,"
Ramai",D
2219,"
Byk yg ttp",N
2220,"
Oke",D
2221,"
Lengkap",D
2222,"
Sekarang klo belanja di pasar besar suka was was, takut ambruk pas waktu hujan, bocor jijik juga, tolong dong pemerintah,pasar nya di perbaiki, biar pengunjung bisa nyaman aman",TD
2223,"
bingung",N
2224,"
Semua yg anda butuhkan cari disini",D
2225,"
Pasar kota",N
2226,"
ramai",D
2227,"
Tidak begitu buruk",N
2228,"
Seru",D
2229,"
Kumuh dan bau,",TD
2230,"
Kotor dan kumuh",TD
2231,"
Pasar Kota Malang",N
2232,"
Siang kesini beli celana pendek muter2 didalam akhirnya dapat juga....",N
2233,"
pedagang hasil lautnya lumayan lengkap, harga affordable ðŸ‘ðŸ¼",D
2234,"
Tempat kulak barang, harga Grosir",D
2235,"
Lumayan
Untuk harga dangat sangat terjangkau",D
2236,"
Lengkap dan besar, banyak pilihan.",D
2237,"
Harga sayurannya paling mahal sekota Malang",TD
2238,"
Kelancaran transportasi cukup padat karena banyaknya pedagang parkir dan keluar masuk pasar. Namun untuk kelengkapan kelengkapan belanja apapun sangat recomended.",D
2239,"
Pasar utama berada di tengah kota malang , komplit ada semua ðŸ‘",D
2240,"
Kotor, kumuh, gelap,",TD
2241,"
Belanja macam2.
Ada 3 lantai. Tapi yang buka 2 lantai.",N
2242,"
Sempit",TD
2243,"
Sambil jalan2 cari sesuatu ....",N
2244,"
Kurang bersih",TD
2245,"
tempat nya cukup estetik",D
2246,"
Banyak copet harp waspada",TD
2247,suka,D
2248,"
Banyak penjual dan beragam jualannya, sudah banyak tempat cuci tangannya di dekat pintu-pintu masuk dan keluar",D
2249,"
Kurang bersih",TD
2250,"
Kurang perawatan",TD
2251,"
Pasar terlengkap di malang raya",D
2252,"
Nyaman dan bersih",D
2253,"
harga lumayan terjangkau",D
2254,"
Kurang bersih dan agak semrawut, trotoar habis dimakan pedagang ðŸ˜ðŸ‘",TD
2255,"
Banyak sekali lapak dan jenis barang yang dijual, ada toko yang harganya bisa ditawar dan ada juga yang memberikan harga pas.",D
2256,"
Murah",D
2257,"
Tempat kulak an berbagai macam",D
2258,"
Panasss",TD
2259,"
dapet klengkeng jumbo",N
2260,"
Semuanya ada disini....",D
2261,"
Jangan buang sampah sembarangan",TD
2262,"
Butuh renovasi total..",TD
2263,"
Rada horor",TD
2264,"
Taat prokes.",D
2265,"
Siiip",D
2266,"
Awalnya datang kepasar mikir 2 kali. Namun setelah menemukan tempat belanja yang cocok, ngulang terus. Sayang, kebersihannya masih kurang, sehingga bau tidak sedap di beberapa tempat menyebabkan tidak nyaman",TD
2267,"
Gedungnya cukup bagus tapi ga di rawat banyak sampah di buang sembarangan dalam gedung ðŸ˜”",TD
2268,"
lebih bagus tertib",D
2269,"
Sedikit bingung ketika dilantai dua",TD
2270,"
Pasar tercintaa... Semoga tetap memberi rejeki bagi semua orang ..",D
2271,"
Pasar Tradisional bersih dan dekat alun-alun Malang",D
2272,"
Kurang bersiii aja",TD
2273,"
Manfaat",D
2274,"
Banyak spot buat foto dengan latar belakang bangunan kuno dan mangkrak.",D
2275,"
Kurang teratur",TD
2276,"
Ikan laut bermacam2 jenis, udang dg size yg berbeda2 kecil, sedang dan besar.
Kepiting, keluarga kerang2an.
Buah2an buuanyak. Roti2 yg empuk.
Syuuuuka ke pasar besar malang

Oya yg jualan pakaian jg banyak",D
2277,"
Pasar yg cukup legenda,lengkap,tp kadang harga susah ditawar",D
2278,"
Mulai ruwet....tata letak para pedagang yg semrawut",TD
2279,"
Lumayan rame banget",D
2280,"
Masih suka belanja disini, walau sekarang tinggal jauh",D
2281,"
Lengkap tapi masih kumuh",TD
2282,"
yang masih syukak nyasar angkat tangan, wkwk",N
2283,"
Cukup lengkap",D
2284,"
Lengkap semua ada disana, cari apa aja mudah",D
2285,"
lumayan lengkap",D
2286,"
Complit",D
2287,"
Murah meriah,",D
2288,"
Sayangnya lantai atas nganggur,klo saya JD walikota akan saya manfaatkan untuk bursa mobil motorðŸ‘ðŸ‘",TD
2289,"
Tempat saya kirim telor",N
2290,"
Mudah dijangkau aja",D
2291,"
Pasar legendaris, selalu rame dan lengkap.",D
2292,"
Menyediakan berbagai macam kebutuhan...
Paling favorit beli emas di pasar besar ðŸ˜ƒ",D
2293,"
Pasar segala apapun di jual",D
2294,"
Tutup pukul 4 sore rata rata minggu libur",N
2295,"
Semua ada :)",D
2296,"
Lengkap",D
2297,"
Cari obrok di pasar besar malang..lengkap..hrga 80-200",D
2298,"
Pasar paling komplit di malang",D
2299,"
Lumayan bersih dan tidak ruwet",D
2300,"
Lumayan ramai",D
2301,"
ramai pembeli",D
2302,"
god job",D
2303,"
Pasar tradisional lantai bawah agak kumuh.",TD
2304,"
Belanja apa aja harganya juga miring banget",D
2305,"
Semuanya kebutuhan mungkin tersedia di pasar ini",D
2306,"
Persediaan lengkap",D
2307,"
Bagus",D
2308,"
Asik untuk belanja",D
2309,"
Lengkap dan murah",D
2310,"
Sip",D
2311,"
Pasar Kenangan di Kota Malang",N
2312,"
Wkwkkw punah kesan sendiri sih karena prewed kami disini gegara Corona dan waktu itu ppkm lev 4 banyak wisata dan transportasi umum yang ditutup",N
2313,"
Pasar besar merupakan salah satu tempat belanja yang cukup terkenal dikota malang, bagi anda yang mau belanja barang2 dengan harga yang murah, tempat ini bisa jadi salah satu destinasi anda.

Catatan: Disini anda bisa menawar harga barang tersebut agar mendapatkan harga yang lebih murah",D
2314,"
Hbt",N
2315,"
Ngone wong dodolan sembarang kalirr",D
2316,"
Mantaaaf",D
2317,"
L",N
2318,"
Murah",D
2319,"
Murah ramai",D
2320,"
Lengkap",D
2321,"
Aktivitas seperti biasa, hanya saja nggak terlalu ramai",N
2322,"
Kumuh",TD
2323,"
Tempat yang sangaat luas, seperti pasar pada umumnya yang menjual berbagai macam barang. Di lantai satu dapat menjumpai pedagang daging, ikan, ataupun bumbu dapur, dan lantai 2 juga terdapat pedagang penjual pakaian, ataupun seragam. Lokasi yangbstrategia di tengah kota Malang dan cukup bersih untuk sebuah pasar yang selalu ramai dikunjungi. Selain itu, harga di pasar ini cenderung lebih murah.",D
2324,"
Tempat untuk grosir",D
2325,"
Ketersediaan barang cukup lengkap baik untuk kebutuhan primer maupun sekunder. Sayangnya semenjak ada pandemi agak sepi pengunjung juga ada beberapa stand yang mulai kosong akibat perekonomian yang sedikit lesu.",D
2326,"
Sangat rame",D
2327,"
pasar besar tersedia berbagai macam kebutuhan keluarga",D
2328,"
Tempatnya nyaman ...tp ada sebagian lokasi baunya menyengat ...",D
2329,"
Kebutuhan masak harian, bahan mentah lengkap sapi, ayam, ikan sayur mayur, bumbu, dll. Di lantai yg lain tersedia pakaian dan asesorisnya, termasuk kacamata, topi, tas, dompet, sabuk,....... Perlengkapan Tni Polri juga ada. Elektronik dan senapan angin juga ada pokoknya segala aya dah..mantab",D
2330,"
Kurang terawat",TD
2331,"
Dari luar terlihat kumuh",TD
2332,"
Pasar nya bersih",D
2333,"
Kumuh",TD
2334,"
Pasar legend kota malang",N
2335,"
Pasar legendaris, pusat perbelanjaan di Malang yang lengkap dan harga bersahabat, tapi juga kalau rejeki bisa menawar yg harga pas hehehe...
Semoga semakin rame dan bersih pasar besar malang",D
2336,"
Pasar tradisional yang cukup lengkap. PandaiÂ² menawar aja",D
2337,"
Lengkap tapi sedikit kumuh",TD
2338,"
Lengkap kebutuhan primer dan skunder
Dg harga terjangkau",D
2339,"
Rasa masakannya mantuuulll....",D
2340,"
Pasar kurang bersih dan sehat",TD
2341,"
Gak seramai dulu",TD
2342,"
Sarana belanja pasar tradisional yg lengkap..cuma parkir lebih di tertibkan lagi untuk meminimalisir kemacetan",TD
2343,"
Kalau ke area Pasar Besar Malang harap hati-hati karena seputar Pasar Besar seharusnya 1 arah tapi nyatanya sepeda motor tetap berjalan melawan arah baik pagi siang malam, bebas tanpa terlihat polisi lalu lintas yang berjaga atau menindak para pelanggar.
Untuk Satlantas Polresta Malang tolong hal ini bisa diperhatikan lebih baik demi keamanan, kenyamanan dan keselamatan pengguna jalan.",TD
2344,"
Cuiop",N
2345,"
perlu penataan lagi",TD
2346,"
Perlu revitalisasi",TD
2347,"
Pasar GedÃ¨ namanya di kota malang adalah pasar tradisional yg lengkap, mau buah apapun ada, mau kue apapun ada bikang gueedÃ¨ ada,gulo kacang ada.
Pasar favorite orang yg pernah lahir gedÃ¨ dan sekolah atau kuliah di kota malang.",D
2348,"
barang nya lengkap..",D
2349,"
Keadaan pasar yang kurang baik, saat musim hujan sering kali ada genangan air di lantai bawah",TD
2350,"
Lengkap",D
2351,"
segala kebutuhan pkok ada di sini",D
2352,"
Pasar besar pusat Kota Malang yang kondisinya sudah tidak bagus lagi, pedagang sepi, parkir semrawutâ€¦",TD
2353,"
Tempat berbelanja segala macam barang ðŸ˜€",D
2354,"
Kelihatanya agak kotor",TD
2355,"
Pasar yg cukup lengkap, dari sandang pangan papan tersedia. Untuk bagian daging dan ikan ikanan ada di lantai 1. Untuk yang mau cari kacamata bisa di lantai 2 bagian belakang di sana banyak optik berjejer.",D
2356,"
Lengkap dan murah",D
2357,"
sangat ramai, banyak orang kulakan",D
2358,"
Lumayan",N
2359,"
Bawang gorengnya renyah dan murah",D
2360,"
Banyak ragam pilihanya, dekat dengan alun-alun kota malang",D
2361,"
Selama pandemi ternyata ada aturan ganjil genap nomor toko",TD
2362,"
Lengkap dan murah kalau tau tempatnya",D
2363,"
Sangat lengkap barangnya. Keamanan pasar cukup baik",D
2364,"
Perlu di rehab karena banyak yg rusak dan kumuh terutama dilantai dasar.",TD
2365,"
sekarang mulai cukup ramai pembeli/pengunjung",D
2366,"
Lengkap apa saja ada",N
2367,"
Bagus",D
2368,"
toko alat-alat musik dan olahraga yang lengkap, dengan staff yang cekatan, ramah, dan berpengetahuan mengenai barang yang dijual",D
2369,"
terbaik",D
2370,"
Pasar Besar namanya jadi yang jualan banyak dan berbagai macam kebutuhan dan sudah di petakan seperti blok kain, blok perhiasan, blok sepatu dll.
Jadi tidak akan kebingungan.

Fasilitas : Parkiran Luas R4 dan R2
Toilet juga ada.",D
2371,"
Harganya sedang dan penjualnya ramah",D
2372,"
Komplit",D
2373,"
Akurat",D
2374,"
Lokasinya strategis, mudah dijangkau oleh angkutan umum dan pribadi, cukup bersih",D
2375,"
Pasar paling lengkap murah meriah iso dinyang pisan",D
2376,"
Sangat ramai",D
2377,"
Bagus dan barang lengkap. Banyak barang2 harga grosir",D
2378,"
Luas",D
2379,"
Seperti pasar pada umumnya .",N
2380,"
Pasar besar skrg sepi g seperti dulu...semoga lekas pulih Indonesiaq",TD
2381,"
Okelaaah",D
2382,"
Sip",N
2383,"
Lengkap tapi harus hati hati dan jaga jarak",TD
2384,"
Pasar tambah kotor dan jarang dibersihkan",TD
2385,"
Kurang tertata",TD
2386,"
Makanan murah dan sangat enak",D
2387,"
Pasar Ku",N
2388,"
Apa yang saya butuhkan ada semua disini",D
2389,"
Sebagian toko( bedak) tawar menawar sebagian lagi harga pas, yang paleng asik dan menarik barang pasar lengkap sekali dari yang harga untuk kelas bawah sampai kelas atas tersedia di PBM",D
2390,"
pasar segala macam barang dan produk, harga hrs berani nawar",D
2391,"
Pasar besar malang",N
2392,"
Pasar kebanggaan kota malang",D
2393,"
Lengkap",D
2394,"
Pasarnya sangat tertata....ramai pengunjungnya ...",D
2395,"
Ngon e wongÂ² dodolan sembarang kalirr @HORIZZON_kipa",D
2396,"
Menyediakan berbagai macam produk",D
2397,"
Cobak sek",N
2398,"
Lengkap dan murah",D
2399,"
Cocok untuk foto street",D
2400,"
Sepi",TD
