no,ulasan,entity,GT,split
44,Tempat terbaik untuk olahraga gratis,Taman Merjosari,D,Taman Merjosari_D
45,"Kurang menarik aja akhir"" ini...
Banyak yg harusnya di perbaiki sebisa mungkin...
Dan harus bisa membuat orang senyaman nyaman mungkin...",Taman Merjosari,TD,Taman Merjosari_TD
47,tempat nya sejuk kalo sore,Taman Merjosari,D,Taman Merjosari_D
50,"Taman sejarah pertama kali Aku kenal sama cewek.
Ketemunya dan Nembaknya cewek di taman ini.
Keren banget",Taman Merjosari,N,Taman Merjosari_N
51,Pingin kesana lg bersama tercintakuðŸ˜˜ðŸ˜˜,Taman Merjosari,N,Taman Merjosari_N
53,"Tempat olah raga, rekreasi cukup nyaman untuk keluarga ataupun teman",Taman Merjosari,D,Taman Merjosari_D
54,Sejuk dan kuliner melimpah,Taman Merjosari,D,Taman Merjosari_D
56,"Ada gazebo, lapangan basket, dan beberapa tempat duduk",Taman Merjosari,D,Taman Merjosari_D
57,"Selain sebagai Ruang terbuka hijau,taman singha juga sebagai pusat njajan murah meriah.tinggal pilih saja....",Taman Merjosari,D,Taman Merjosari_D
59,Tempat ini tidak terawat banyak tempat yang sudah tusak,Taman Merjosari,TD,Taman Merjosari_TD
61,"Tempat buat olaraga ,banyak fasitas seperti area basket ball, skateboard+Bmx",Taman Merjosari,N,Taman Merjosari_N
62,Tempat nya nyaman dan indah,Taman Merjosari,D,Taman Merjosari_D
64,Sejuk... kebersihan lumayan,Taman Merjosari,D,Taman Merjosari_D
65,ok lah,Taman Merjosari,N,Taman Merjosari_N
67,Joging di sini asyik jg...,Taman Merjosari,D,Taman Merjosari_D
68,Adem,Taman Merjosari,D,Taman Merjosari_D
69,"Sejuk, bersih",Taman Merjosari,D,Taman Merjosari_D
70,Lumayan,Taman Merjosari,D,Taman Merjosari_D
71,"Banyak yang jualan makanan di sekitar, taman nya bisa dibuat main skateboard",Taman Merjosari,D,Taman Merjosari_D
72,"Tempat joging yg kondusif, gak terlalu ramai.
Sayang track nya beberapa udah gk nyaman dilewatin. Sky bike nya juga udah gk beroperasi lagi ðŸ˜ž",Taman Merjosari,TD,Taman Merjosari_TD
73,Enak enak mantap,Taman Merjosari,D,Taman Merjosari_D
74,"Fasilitas udah bagus lah walaupun sebagian rusak 
Kang parkir epriwer dan gaada karcisnya, sungguh menjengkelkan",Taman Merjosari,TD,Taman Merjosari_TD
75,Cocok,Taman Merjosari,N,Taman Merjosari_N
76,"Perawatan nya kurang, tempat santai/pendopo nya banyak semurnya harap di kasih obat semut biar ilang semutnya trimakasih",Taman Merjosari,TD,Taman Merjosari_TD
77,"Tempat olahraga keluarga yang nyaman
Tempat kumpul - kumpul yang asri
Tersedia PKL dengan bermacam menu",Taman Merjosari,D,Taman Merjosari_D
78,"bersih, sejuk, cocok buat keluarga",Taman Merjosari,D,Taman Merjosari_D
79,"Seru, rindang, nyaman buat olahraga.. Baik sepakbola maupun jogging kecil-kecilan.. Ada wifi juga dan dekat dengan tukang jajan maupun warung makan.. Komplit",Taman Merjosari,D,Taman Merjosari_D
80,Tempat olahraga gratis keringetan,Taman Merjosari,D,Taman Merjosari_D
81,"Sarana refreshing gratis, murah meriah",Taman Merjosari,D,Taman Merjosari_D
82,Sangat memuaskan,Taman Merjosari,D,Taman Merjosari_D
83,Tempat tujuan berolahraga dan berwisata jajanan,Taman Merjosari,D,Taman Merjosari_D
84,Bagusss,Taman Merjosari,D,Taman Merjosari_D
85,Cara membuat kue bolu,Taman Merjosari,N,Taman Merjosari_N
86,Bagud,Taman Merjosari,D,Taman Merjosari_D
87,"Tempatnya luas, sejuk, nyaman, arena bermain, dan olah raga cukup memadai, asik untuk refreshing bersama keluarga, toilet dan tempat sampah jumlahnya dah mencukupi",Taman Merjosari,D,Taman Merjosari_D
88,Cocok untuk olahraga . Banyak pohonnya. Teduh.,Taman Merjosari,D,Taman Merjosari_D
93,Kamar mandinya bau... Jogging track kecil dan kurang terbuka (tidak tersinari matahari secara langsung)...,Taman Merjosari,TD,Taman Merjosari_TD
94,Suka bisaa nge-gym gratis ðŸ˜‚,Taman Merjosari,D,Taman Merjosari_D
95,Bersih rindang banyak pepohonan,Taman Merjosari,D,Taman Merjosari_D
96,NYaman,Taman Merjosari,D,Taman Merjosari_D
97,Tamannya bersih. Suka banget pokoknya,Taman Merjosari,D,Taman Merjosari_D
98,"Nice place buat jogging di pagi hari. Banyak kucing, kalau bawa makanan jangan lupa dibagiinðŸ˜…
Kamar mandinya tolong dijaga kebersihan dan keharumannyaðŸ¤§",Taman Merjosari,TD,Taman Merjosari_TD
100,"Taman Singha Merjosari merupakan taman yang terletak di Jalan Mertojoyo Selatan, kelurahan Merjosari, Malang. Dapat dikatakan bahwa taman ini memiliki fasilitas yang sangat lengkap. Keberadaannya yang sangat dekat dengan pemukiman warga membuat taman ini selalu ramai dikunjungi khususnya pada hari-hari libur.
Menurut keterangan yang ada, taman Singha Merjosari merupakan taman kotayang dibangun dengan konsep kriteria taman kota hijau. Taman yang rencananya mencapai luas 29.012 m2 ini, bertujuan untuk  memenuhi amanat UU Penataan Ruang, sebagai sarana interaksi sosial budaya, tempat bermain dan belajar bersama menuju kehidupan lestari. Menjadikan taman memiliki keseimbangan fungsi ekologis, hidrologis, kesehatan, sosial, ekonomi dan kesehatan.

Berlari di Taman Singha Merjosari

Mayoritas pengunjung yang datang ke taman ini, bertujuan untuk berlari. Hampir setiap pagi dan sore pasti banyak pengunjung yang berlari mengelilingi taman ini. Luas taman yang cukup besar serta dibuatnya jalan yang melingkari tepi taman, membuat hal itu menjadi fasilitas tersediri bagi para pengunjung untuk bisa berlari di taman Singha Merjosari.

Aktivitas Gym di Taman

Setelah selesai berlari biasanya pengujung melanjutkan variasi olahraga menggunakan alat-alat yang telah disediakan di taman ini. Pengunjung tidak perlu pergi ke tempat gym untuk dapat menikmati sensasi berolahraga dengan alat-alat gym.
Di taman ini ada tempat yang menyediakan fasilitas untuk pengujung dapat berolahraga layaknya di tempat gym. Namun pengunjung harus sedikit bersabar, sebab akan banyak pengunjung lain pula yang ingin menggunakan tempat ini, sehingga wajar jika tepat ini selalu ramai digunakan oleh pengunjung

Gazebo Tempat Bersantai

Di taman ini juga berdiri beberapa gazebo yang bisa digunakan oleh pengunjung untuk bersantai sembari menikmati indahnya taman Singha Merjosari. Gazebo ini juga biasa digunakan pengunjung sebagai tempat untuk ngopi dan makan-makan. Hal ini tidaklah aneh, banyak toko di sekitar taman Singha Merjosari yang menjual berbagai makanan dan minuman.",Taman Merjosari,D,Taman Merjosari_D
101,"Nyaman, anak2 suka",Taman Merjosari,D,Taman Merjosari_D
102,Sejuk dan wisata kuliner,Taman Merjosari,D,Taman Merjosari_D
105,Kurang terawat tamannya,Taman Merjosari,TD,Taman Merjosari_TD
106,"Sejuk udaranya, tidak terlalu padat untuk sore hari",Taman Merjosari,D,Taman Merjosari_D
107,Banyak yg bisa dilakukan di sini.,Taman Merjosari,D,Taman Merjosari_D
108,Apik dan membantu,Taman Merjosari,D,Taman Merjosari_D
109,Sarana dan prasarana kurang terawat,Taman Merjosari,TD,Taman Merjosari_TD
110,Joss,Taman Merjosari,D,Taman Merjosari_D
111,Tanaman,Taman Merjosari,N,Taman Merjosari_N
113,Lumayan lah buat santai sejenak,Taman Merjosari,D,Taman Merjosari_D
114,"Bagus tamannya, ada mini gym juga yang bisa digunakan untuk berolahraga
Cocok untuk bersantai dengan keluarga dan orang yang disayang",Taman Merjosari,D,Taman Merjosari_D
115,"Dulu bagus banget sekarang udah mulai banyak fasilitas yg rusak, dan berangsur angsur lama",Taman Merjosari,TD,Taman Merjosari_TD
116,Kurang terawat....Andaikan Walikota tetep Abah Anton... Thanks Abah Anton,Taman Merjosari,TD,Taman Merjosari_TD
118,"Kebersihan kurang sekali, meskipun sdh bnyak petugas bersih2 to kurang maksimal sehingga banyak sampah2 dimana2 ....",Taman Merjosari,TD,Taman Merjosari_TD
119,"Taman publik yg cocok utk refreshing. dilengkapi dgn fasilitas jogging track,  skate board arena, mini lap. basket dan bersebelahan dgn lap. sepakbola. Dan banyak penjual makanan di sekitar",Taman Merjosari,D,Taman Merjosari_D
120,"
Family and alone place banget. Mau olahraga atau duduk2 di sini doang juga nyaman. Di sekitarnya banyak orang jualan makanan dan jajanan.

Tamannya luas enak buat keliling jogging. Rumput2nya enak juga buat grounding. Banyak kucing2 lucunya hehe.",Taman Merjosari,D,Taman Merjosari_D
121,"
Tempat asik buat momong anak kalo sore",Taman Merjosari,D,Taman Merjosari_D
122,"
Lumayan bersih untuk kegiatan olahraga",Taman Merjosari,D,Taman Merjosari_D
124,"
Taman yg nyaman untuk olahraga atau bersantai di tengah ramainya kota malang. Ada banyak fasilitas di dalamnya, seperti arena skateboard, outdoor gym area, taman lalu lintas, gazebo, dan lahan parkir. Taman ini dekat dengan lapangan terbuka dan masjid",Taman Merjosari,D,Taman Merjosari_D
125,"
bagus",Taman Merjosari,D,Taman Merjosari_D
126,"
sangat menyenangkan penuh dengan taman bunga yang terawat, tempat olahraga dan kebersihan terjaga selaluðŸ‘ðŸ¼, Alhamdulillah",Taman Merjosari,D,Taman Merjosari_D
127,"
mantab burgernya",Taman Merjosari,D,Taman Merjosari_D
128,"
Lengkap dn nyaman sekali.",Taman Merjosari,D,Taman Merjosari_D
129,"
Tempatnya asik buat keluarga, didekatnya ada warung2 ada tempat buat duduk2 semacam gazebo, ada arena bermain skateboard.
Suasannya asik, lumayan rindang juga.
Tempat parkir roda 2 dan roda 4 tersedia.",Taman Merjosari,D,Taman Merjosari_D
130,"
Ruame,, wurenak pol polan tempate",Taman Merjosari,D,Taman Merjosari_D
131,"
Tempatnya enak buat olahraga ringan",Taman Merjosari,D,Taman Merjosari_D
132,"
Sering mengajak anak jalan2 ke sana dan asri",Taman Merjosari,D,Taman Merjosari_D
133,"
Nyaman buat olahraga",Taman Merjosari,D,Taman Merjosari_D
134,"
Asik dan nyaman buat refresing, cuman ada beberapa titik yg perlu direnovasi",Taman Merjosari,TD,Taman Merjosari_TD
135,"
Senang",Taman Merjosari,D,Taman Merjosari_D
136,"
Sangat Cocok sebagai Tempat Udara Segar dipagi hari",Taman Merjosari,D,Taman Merjosari_D
137,"
Taman yg enak buat olahraga, ckup byar parkir.. skelilingnya bnyak jual mkanan sma minuman",Taman Merjosari,D,Taman Merjosari_D
138,"
Pernah ke sini, tempat yg ideal buat olahraga dan tempat bermain anak2..",Taman Merjosari,D,Taman Merjosari_D
139,"
Sehat jasmani inshaAllah sehat rohani",Taman Merjosari,N,Taman Merjosari_N
140,"
Jeren",Taman Merjosari,D,Taman Merjosari_D
142,"
Taman luas, fasilitas masih terjaga, banyak peralatan olahraga, asri, bersih",Taman Merjosari,D,Taman Merjosari_D
144,"
Enak buat jogging",Taman Merjosari,D,Taman Merjosari_D
148,"
Suasana nyaman, rindang, asri,",Taman Merjosari,D,Taman Merjosari_D
149,"
Cukuplah untuk bermain outdoor",Taman Merjosari,D,Taman Merjosari_D
152,"
Asri tempat nya.",Taman Merjosari,D,Taman Merjosari_D
153,"
hunian yg sejuk",Taman Merjosari,D,Taman Merjosari_D
154,"
mbois",Taman Merjosari,D,Taman Merjosari_D
155,"
Asri bagus untuk sekeluarga",Taman Merjosari,D,Taman Merjosari_D
157,"
taman",Taman Merjosari,N,Taman Merjosari_N
159,"
Sebuah taman bermain umum anak dan aktifitas olarga warga sekitar yang terletak di kawasan dinoyo berdekatan dengan pasar merjosari,universitas UIN malang.",Taman Merjosari,D,Taman Merjosari_D
161,"
Bagus",Taman Merjosari,D,Taman Merjosari_D
162,"
Tempatnya bagus, nyaman dan sejuk. Cocok buat keluarga",Taman Merjosari,D,Taman Merjosari_D
163,"
Asri dan sejuk ditengah panasnya kota malang",Taman Merjosari,D,Taman Merjosari_D
164,"
Juoosss",Taman Merjosari,D,Taman Merjosari_D
167,"
Taman nyaman, fasilitas memadai",Taman Merjosari,D,Taman Merjosari_D
168,"
Tempat yang cukup nyaman untuk bersantai dan berolahraga bersama keluarga...Juga merupakan paru-paru untuk daerah Merjosari dan sekitarnya...

Tuladha pernah pameran disini pada event Tazokraf Dinas Pariwisata...",Taman Merjosari,D,Taman Merjosari_D
169,"
Hijau seger, hutan kota yang bagus",Taman Merjosari,D,Taman Merjosari_D
170,"
Tempat pacaran gk pake mahal, hahayyyyy",Taman Merjosari,D,Taman Merjosari_D
171,"
Enak buat olahraga dan bersantai waktu sore",Taman Merjosari,D,Taman Merjosari_D
172,"
Sering di gunakan mesum",Taman Merjosari,TD,Taman Merjosari_TD
173,"
Bisa latihan fitness",Taman Merjosari,D,Taman Merjosari_D
175,"
Istimewa",Taman Merjosari,D,Taman Merjosari_D
176,"
Banyak kucing nya, saran kalau ke sana membawa makanan kucing ðŸ¤£ðŸ¤£",Taman Merjosari,N,Taman Merjosari_N
178,"
Semoga track untuk lari nya segera dibenerin. Soalnya sekarang mulai banyak yg rusak dan tidak rats",Taman Merjosari,TD,Taman Merjosari_TD
180,"
nyaman untuk buat mencari keringat, fasilitas olahraga juga lumayan bagus",Taman Merjosari,D,Taman Merjosari_D
181,"
Wahana bermain kurang",Taman Merjosari,TD,Taman Merjosari_TD
182,"
biasa buat jogging, mantep slur",Taman Merjosari,D,Taman Merjosari_D
183,"
Cocok untuk anak2",Taman Merjosari,D,Taman Merjosari_D
184,"
Ada Taman Lalulintas untuk anak-anak",Taman Merjosari,D,Taman Merjosari_D
185,"
Asyik buat nyantai dan olahraga",Taman Merjosari,D,Taman Merjosari_D
186,"
Tempatnya cukup memuaskan, apalagi buat anakÂ²",Taman Merjosari,D,Taman Merjosari_D
187,"
Cocok buat nongkrong",Taman Merjosari,D,Taman Merjosari_D
188,"
Angin semilir,, pohonÂ² yg rindang,, enak buat menghabiskan waktu di hari minggu,, banyak gazebo juga.. Ada tempat olahraga jga bagi yang mau olahraga..",Taman Merjosari,D,Taman Merjosari_D
189,"
Tempat yg Nyaman Untuk berolah Raga Meski Kurang terawat",Taman Merjosari,TD,Taman Merjosari_TD
190,"
Taman kota yang terletak di daerah merjosari malang",Taman Merjosari,D,Taman Merjosari_D
192,"
Teduh..ðŸ‘ŒðŸ‘ðŸ‘",Taman Merjosari,D,Taman Merjosari_D
193,"
Tempatnya sejuk, akan tetapi kurang terawat, jadi banyak rerumputan yang sudah menjalar tinggi,,
Di sekitaran Taman juga banyak warung yang tersedia,,
dan salah satu spoot yang menarik pengunjung adalah lokasi skateboard",Taman Merjosari,D,Taman Merjosari_D
194,"
Taman murah kota malang. Cuma bayar parkir aja. Enak buat joging. Ada temoat olahraganya juga",Taman Merjosari,D,Taman Merjosari_D
195,"
Arena untuk berolahraga paling nyaman dan gratis ditengah kota",Taman Merjosari,D,Taman Merjosari_D
196,"
Terlallu baanyak nyamuk",Taman Merjosari,TD,Taman Merjosari_TD
197,"
tempatnya tidak terawat",Taman Merjosari,TD,Taman Merjosari_TD
198,"
Taman paling deket sama kost bisa buat destinasi kalo lagi pengen keluar
Banyak yg jualan jajan sekitar taman
Ada wahana buat olahraga",Taman Merjosari,D,Taman Merjosari_D
199,"
Arena lomba Gantangan Saya khusus nya di kelas Kenari isian...",Taman Merjosari,N,Taman Merjosari_N
200,"
Taman",Taman Merjosari,N,Taman Merjosari_N
201,"
Sangat nyaman",Taman Merjosari,D,Taman Merjosari_D
202,"
Bisa berolahraga dan berjalan",Taman Merjosari,D,Taman Merjosari_D
204,"
Tempat yang asyik",Taman Merjosari,D,Taman Merjosari_D
206,"
Rapi dan bersih",Taman Merjosari,D,Taman Merjosari_D
207,"
Bagusss",Taman Merjosari,D,Taman Merjosari_D
208,"
Nice place for work out and family time. Pokoknya rekomen deh terawat dan cukup bersih untuk tempat seramai ini",Taman Merjosari,D,Taman Merjosari_D
209,"
Tempat hiburan masyarakat di sekitar merjosari..
Biasa utk aktivitas senam bagi manula,jg utk oleh raga bagi masyarakat.
Dsini ada tempat utk bermain skateboard",Taman Merjosari,D,Taman Merjosari_D
210,"
Cocok buat olahraga pagi",Taman Merjosari,D,Taman Merjosari_D
211,"
Nyaman",Taman Merjosari,D,Taman Merjosari_D
212,"
Ruang terbuka hijau yang ramah untuk anak, banyak fasilitas yang bisa digunakan, salah satunya: taman lalu lintas, taman bermain, dan fasilitas fitness sederhana. Tapi beberapa fasilitas kurang terawat.",Taman Merjosari,D,Taman Merjosari_D
213,"
Mantabs",Taman Merjosari,D,Taman Merjosari_D
215,"
Masih dikuasai tukang parkir preman, bangsa ini gak akan maju kalau toilet dan parkir masih bayar",Taman Merjosari,TD,Taman Merjosari_TD
216,"
Lumayan buat jalan2 pagi sama keluarga kecil",Taman Merjosari,D,Taman Merjosari_D
217,"
Ada tempat untuk olahraga Dan bermain",Taman Merjosari,D,Taman Merjosari_D
218,"
Tempat yang Asri",Taman Merjosari,D,Taman Merjosari_D
220,"
Tempat yg bagus buat menenangkan pikiran hehe",Taman Merjosari,D,Taman Merjosari_D
221,"
nyaman",Taman Merjosari,D,Taman Merjosari_D
222,"
Lumayan bagus disana banyak tersedia tempat bermain, alat fitness manual, tempat skateboard dan arena jogging ada juga lapangan basket",Taman Merjosari,D,Taman Merjosari_D
223,"
Enak buat nyantai2 sore hari, banyak tempat ngopi juga disekitarnya",Taman Merjosari,D,Taman Merjosari_D
224,"
mantap hasilnya",Taman Merjosari,N,Taman Merjosari_N
225,"
Sejuk dan sangat nyaman untuk berolah raga dan bersantai",Taman Merjosari,D,Taman Merjosari_D
226,"
Nyaman",Taman Merjosari,D,Taman Merjosari_D
229,"
Tamannya sejuk",Taman Merjosari,D,Taman Merjosari_D
230,"
Becek guys saat musim hujan",Taman Merjosari,TD,Taman Merjosari_TD
231,"
Luas dan fasilitas lengkap, tapi kurang bersih / terawat",Taman Merjosari,TD,Taman Merjosari_TD
232,"
taman sigha , taman terletak di merjosari cocok untuk olahraga dan ada juga arena skate bmx dan gantangan kicau mania",Taman Merjosari,D,Taman Merjosari_D
233,"
Keberihan kurang dijaga",Taman Merjosari,TD,Taman Merjosari_TD
234,"
Padat",Taman Merjosari,N,Taman Merjosari_N
235,"
Taman yg sejuk dan enak bwt olah raga + tempat olah raga lengkap",Taman Merjosari,D,Taman Merjosari_D
236,"
Taman Singha Merjosari sangat sejuk dan tempat olahraga lengkap. ðŸ‘",Taman Merjosari,D,Taman Merjosari_D
237,"
Tempat nya nyaman,teduh,sejuk....",Taman Merjosari,D,Taman Merjosari_D
238,"
Taman bermain sekaligus berolahraga dengan fasilitas lengkap.Ada tempat fitnes,skateboard futsal,joging,lapangan bola,basket,ayunan, main pasir,juga seluncuran.Toilet gratis,parkir luas.Cuma sayangnya ikon skybike jarang beroperasi",Taman Merjosari,D,Taman Merjosari_D
239,"
Taman Singha Merjosari merupakan taman di jalan Sigura Gura yang biasa digunakan untuk tempat olahraga. Tempat ini memiliki fasilitas olahraga yang lumayan banyak seperti skateboard, bmx, jogging, fasilitas gym, basket, terapi kaki, lapangan sepakbola, wahana roda kayuh, dll. Pada awal pembukaannya taman ini sangat bagus dan modern namun sekarang sudah banyak rumput rumput liar tumbuh, becek, dan fasilitas kurang diperhatikan. Sehingga membuat kurang nyaman dipandang. Untuk masuk hanya cukup bayar parkir 2ribu akses masuk ada di sebelah utara taman. Jika ingin gratis bisa diparkir di sebelah selatan taman namun keamanan ditanggung sendiri.",Taman Merjosari,D,Taman Merjosari_D
240,"
Bgs",Taman Merjosari,D,Taman Merjosari_D
241,"
Enak buat olahraga keluarga, pohon semakin rindang, ada lapangan basket dan arena skate board, banyak juga fasilitas olahraga dan pijat refleksi. Ada gazebo dan free wifi",Taman Merjosari,D,Taman Merjosari_D
242,"
Taman yang banyak sekali dikunjungi mahasiswa, banyak banget fasilitasnya mulai dari lapangan basket, gym, lapangan lari, skatebooard, dll.

Disini banyak disediakan tempat sampah dan juga tersedia toilet gratis.

Sayangnya fasilitas utamanya yang dicari pengunjung yaitu ""sky bike"" tidak beroperasi dan beberapa fasilitas sudah mulai rusak.

Catatan: Buat yang mau kesini, bisa banget bawa makanan kucing karena banyak kucing liar yang kelaparan.",Taman Merjosari,D,Taman Merjosari_D
243,"
Tempat Jogging yang asik",Taman Merjosari,D,Taman Merjosari_D
245,"
Lebih bagus kalau dikelola dengan baik, banyak Rumput liar disepanjang jalan taman dan paving. Kalau dikelola dengan baik pasti akan jadi seperti Alun Alun Kota Batu. ðŸŽ¡ðŸŽ ðŸŽª",Taman Merjosari,TD,Taman Merjosari_TD
246,"
Uwu",Taman Merjosari,N,Taman Merjosari_N
248,"
Nyaman buat olahraga",Taman Merjosari,D,Taman Merjosari_D
249,"
Nyaman untuk olahraga",Taman Merjosari,D,Taman Merjosari_D
250,"
Nyaman dan bersih",Taman Merjosari,D,Taman Merjosari_D
251,"
Joozz, untuk santay pagi atau sore harii...",Taman Merjosari,D,Taman Merjosari_D
252,"
Kalau pagi sangat sejuk dan rekomended buat olahraga",Taman Merjosari,D,Taman Merjosari_D
253,"
Taman luas. Di bagian depan ada tempat untuk bermain skateboar. Di belakangnya ada tempat buat bermain basket. Cukup bagus dan aman untuk tempat bersantai atau mengobrol dengan teman. Ada juga alat-alat fitnes di bagian agak belakang taman, beberapa ada yang hilang. Ada juga panduan untuk memakai alat tersebut.",Taman Merjosari,D,Taman Merjosari_D
255,"
Kesini cuman beli jajan karena banyak orang jualan.",Taman Merjosari,D,Taman Merjosari_D
257,"
tempat olahraga terdekat dari rumah",Taman Merjosari,D,Taman Merjosari_D
258,"
Tempatnya bagus sih, cuma seperti tidak terawat saja, tolong pihak terkait untuk segera memperbaiki kembali taman ini... Terima kasih...",Taman Merjosari,TD,Taman Merjosari_TD
259,"
Kumuh, tdk terawat, nggak layak sbg ruang publik",Taman Merjosari,TD,Taman Merjosari_TD
260,"
Taman olahraga terfavorit ðŸ˜",Taman Merjosari,D,Taman Merjosari_D
261,"
Kurang bersih,terutama ruput Dan daun kering kurang perbaikan,",Taman Merjosari,TD,Taman Merjosari_TD
262,"
Tanamannya gk terawat",Taman Merjosari,TD,Taman Merjosari_TD
264,"
Bagus.. cocok untuk liburan keluarga...
Harus dijaga kebersihannya... Dan selalu merawat tanaman dan wahana yang ada...",Taman Merjosari,D,Taman Merjosari_D
266,"
Tempat menikmati Minggu pagi dengan berolahraga ringan.",Taman Merjosari,D,Taman Merjosari_D
268,"
Ditempat ini sejuk dan nyaman semenjak pasar tradisional dibongkar dan dipindah. Pemandangannya luar biasa, kita bisa melihat pegunungan ""putri tidur"" disebelah barat sambil joging/bercengkrama dg keluarga di gazebo yg disediakan. Banyak taman bermain yang diperuntukkan anak anak kecil, jadi kalau ngajak keluarga ga perlu khawatir. Kuliner juga banyak pilihan dan murah meriah. Lahan parkir juga disediakan. Banyak masjid juga di lokasi, jadi gak perlu khawatir ketinggalan shalat",Taman Merjosari,D,Taman Merjosari_D
269,"
kurang terawat",Taman Merjosari,TD,Taman Merjosari_TD
270,"
taman nya sebenernya bagus, mungkin penataan nya harus di atur kembali",Taman Merjosari,D,Taman Merjosari_D
271,"
Mantabb untuk berfoto""",Taman Merjosari,D,Taman Merjosari_D
272,"
Nyaman",Taman Merjosari,D,Taman Merjosari_D
274,"
Sangat enak",Taman Merjosari,D,Taman Merjosari_D
275,"
Enak banget kalo buat olahraga..",Taman Merjosari,D,Taman Merjosari_D
276,"
Cilok depan tamannya perlu dicoba.",Taman Merjosari,N,Taman Merjosari_N
277,"
Tamannya luas. Sayang ada beberapa titik kurang terawat. Bagaimana bila disini didirikan rumah singgah untuk kucing? Sbab terlihat beberapa kucing ditelantarkan di taman ini.",Taman Merjosari,TD,Taman Merjosari_TD
279,"
Tempatnya nyaman",Taman Merjosari,D,Taman Merjosari_D
280,"
Buat joging oke, buat jalan santai oke, buat fitness oke, buat maen oke, buat makan oke, buat ngerjain tugas oke, buat nongkrong oke, buat terapi kaki oke, buat foto"" oke, buat tidur siang oke, nyaman lah pokoknya...",Taman Merjosari,D,Taman Merjosari_D
