no,ulasan,GT
1009,"
Gereja yang menjadi Icon kota Malang. Katedral keuskupan Malang. Megah dan asri, sejuk dan damai .",D
1010,"
Gereja yang penuh kenangan.......the best Church in town",D
1011,"
Katedral malang",N
1012,"
Bagus , bangunan bersejarah",D
1013,"
Selalu mengayomi",D
1014,"
Adem",D
1015,"
KATEDRAL MALANG. Berdiri di jalur utama di tengah kota Malang. Senang karena tenang. Peredam suara diatur dengan baik dan rapih. Aura mistik sungguh terasa, apalagi ditunjang dengan sistim pencahayaan alaminya.... Sungguh gereja ini merupakan tempat doa yang kondusif.",D
1016,"
Bersih tenang dan nyaman...",D
1017,"
Gereja Katolik jl Ijen",N
1018,"
Beribadah dengan Tuhan",N
1019,"
Gereja Katedral ini merupakan perwujudan arsitektur Neo-Gothik khas Belanda, sehingga merupakan peninggalan kuno bersejarah yang dilestarikan di kota Malang.Â Awalnya gereja ini bernama Gereja Santa Theresia, akan tetapi pada tahun 1961 gereja ini berubah nama menjadi Gereja Santa Perawan Maria dari Gunung Karmel.

Gereja ini merupakan bangunan sejarah dengan arsitektur yang menarik untuk dikunjungi, terletak di kawasan dulunya merupakan kompleks pemukiman orang Belanda di Kota Malang (ijen boulevard).",N
1020,"
Gereja yang indah dan bersejarah menjadi ikon perkembangan Gereja Katolik di Malang. Pusat religi sekaligus tujuan wisata di jalan Ijen...apalagi di sebelah gereja terletak Gedung Pusat Pastoral Widya Bakti yg megah. Spot yang sangat bagus untuk foto di depan Gereja",D
1021,"
Pusat keagamaan orang Katolik terutama di kota Malang. Lokasinya strategis berada di daerah elite. Tempatnya sakral membuat orang dapat khusuk berdoa di dalam gereja. Di samping gereja terdapat kantor keuskupan.",D
1022,"
Cocok untuk kaum kristen",D
1023,"
Di gereja No Comment ,pasti diberkati",N
1024,"
Gereja Katedral Keuskupan Malang... Tempat tinggal uskup malang...",N
1025,"
Salah satu ikon kota Malang",N
1026,"
Arsitektur klasik",N
1027,"
Salah satu gereja katolik bersejarah di kota Malang. Mampu menampung banyak umat katolik ketika misa digelar. Parkir pun luas, bisa parkir di samping gereja ataupun di depan gereja.",D
1028,"
Gbu",N
1029,"
Gereja dengan arsitektur Belanda. Merupakan pusat kegiatan Keuskupan Malang. Ada banyak jadwal misa.",D
1030,"
Suka dengan desain dan misa nya",D
1031,"
Tempat ibadah yang nyaman ðŸ˜‡â¤ï¸",D
1032,"
Jaga kesatuan NKRI",N
1033,"
Desain gerejanya bagus. Masih sangat tampak pengaruh arsitektur Belanda di dalam dan luarnya. Penggunaan tiga pintu masuk mempermudah proses masuk ke dalam gereja. Akan tetapi, penempatan tempat pengambilan teks misa terasa cukup membingungkan bagi yang pertama kali datang ke gereja ini.",D
1034,"
Tempat ibadat yg punya spot bagus pula untuk foto2.. :)",D
1035,"
Gereja Katholik bangunan tualetaknya strategis, terletak di tengah dan alun-alun kota malang",D
1036,"
Lokasi strategis, biasa diadakan car free day, nyaman",D
1037,"
Tidak ada rencana untuk gereja di sini, awalnya ingin beribadah di gereja dekat tempat tinggal tapi salah jam jadinya berakhir lah di Gereja ini. Kesan pertama yang saya dapatakan adalah ya konsep bangunanny tidak jauh beda dg gereja-gereja Katedral yg lain dan disini banyak anak mudanya. Gereja pertama yg ku masukki saat di Malang karena hany beberapa haru aja di Malang.",N
1038,"
Dilihat dari Widya bakti",N
