no,ulasan,GT
1887,"
Spot belajar dan mengerjakan tugas yang nyaman, tenang dan bersih.",D
1888,"
Colokan listrik di perpus hanya bersifat HIASAN",TD
1889,"
Tempatnya adem sih, pengunjung ruang skripsi juga dibatasi, bikin pw buat ngerjain. Petugasnya kadang galak",D
1890,"
Salah satu perpustakaan terbaik dan terlengkap di kota Malang. Alamamaterku",D
1891,"
Nyaman sekali untuk mengerjakan tugas",D
1892,"
Mantap",D
1893,"
Dilengkapi dengan fasilitas yang cukup untuk memenuhi kebutuhan terhadap literasi maupun referensi.
Pelayanan yang ramah, tempat yang nyaman. Pada saat ini beroperasi dengan mengikuti protokol kesehatan, membuat pengunjung aman dan nyaman saat mengunjungi perpustakaan universitas negeri malang.",D
1894,"
Tempat parkir khusus pengunjung perpus terlalu sempit, mungkin bisa diperluas. Terima kasih",TD
1895,"
Rindang, fasilitas lengkap.",D
1896,"
Perpustakaan universitas negeri malang sangat nyaman dan buku2nya lengkap",D
1897,"
Tempat nyaman, bersih, disediakan meja kursi, dan tempat sampah.",D
1898,"
Tempat sangat nyaman, rindang, dan indah dengan pemandangan taman yang asri.",D
1899,"
Tempatnya nyaman, full wifi",D
1900,"
Petugasnya melayani dengan baik, sehingga terbantu sekali. Terutama petugas TU yang membantu mahasiswa dalam proses penjajakan.",D
1901,"
Luas",D
1902,"
perpustakaan pusat Universitas Negeri Malang, dilengkapi semua sarana prasarana yang mencukupi menunjang kebutuhan literasi anda.",D
1903,"
Tempatnya tenang dan nyaman, internet lancar serta koleksi buku yang bnyak dari tahun yang lama juga adaa",D
1904,"
Aman dan nyaman",D
1905,"
Perpustakaan yang nuansanya adem, mampu menentramkan hati mahasiswa galau...ðŸ˜Š",D
1906,"
Nyaman untuk belajar di lantai 3. Lantai 2 lesehan untuk mejanya lebih baik jika di tambah lagi, juga colokannya. Untuk akses wifi sudah sangat baik.",D
1907,"
Bersih",D
1908,"
Pelayanan, view yg artistik,kebersihan terjaga, aturan protokol kesehatan diterapkan, sarana dan prasarana yg memadai membuat pengunjung betah",D
1909,"
Nyaman untuk mengerjakan tugas, wifi lancar ðŸ˜€ðŸ‘",D
1910,"
Bagus",D
1911,"
Pelayanan ramah, nyaman, sistematis",D
1912,"
Tempat rekomended buat tambah literasi",D
1913,"
Cukup lengkap tapi sayang untuk referensi tugas kuliah belum lengkap, pelayanan kurang ramah dan songong.",TD
1914,"
Tempat bersih, rapi, dan nyaman. Cocok untuk mengerjakan skripsi ðŸ‘",D
1915,"
Buku ny bagus2.. jatah pinjem 7 buku max 14 hari.",D
1916,"
Banyak buku yang tidak tertata. Perlu evaluasi nih petugas perpusnya. Silahkan dicek bukunya apakah sudah urut atau masih acak acakan. Terutama dibagian karya ilmiah Skripsi, tesis dan desertasi.",TD
1917,"
Bagus dan nyaman",D
1918,"
Tempatnya nyaman, dan juga sunyi. Di luar juga adem banyak pohon",D
1919,"
Tempatnya semakin nyaman semenjak direnovasi. Petugas cukup ramah kecuali di ruang referensi petugasnya agak nyolot.
Koneksi internet sangat cepat.",D
1920,"
Tenpatnya nyaman, sunyi, bersih, di bagian luar juga rindang. Pokoknya nyaman untuk mengerjakan tugas atau skripsi. Referensinya juga banyak dan terbaru, tapi sayangnya di bagian karya ilmiah dibatasi waktu. Wifi di perpustakaan juga koneksinya lumayan baik, di taman depan perpustakaan juga bersih dan rindang. Nyaman buat santai",D
