no,ulasan,GT
2022,"
Sebagai pencinta buku ini tempat wajib kunjung di Malang. Jual macam2 buku fiksi & non fiksi. Harga murah-meriah.
Sebetulnya ingin kasih bintang dua krn banyak buku bajakan disini (kasihan pengarangnya), tapi apa boleh buat, kalo wes kebelet beli buku terpaksa juga beli disini.
Kekurangan lain: Harus tawar-menawar. Kadang suka malas.
Tapi banyak harta karun; ada buku & majalah asli bekas (umumnya bahasa asing) yg masih layak baca dijual murah.
Jadi plus-minus-lah. Ini salah satu tempat dolan wajib tiap bulan selain Gramedia & Toga Mas.",D
2023,"
KW = Kualitas Wilis",N
2024,"
Mudah nyari parkir",D
2025,"
Semuga menjadi barokah",D
2026,"
Lumayan lengkap dan terjangkau",D
2027,"
PinterÂ² nawar sih. Aku kemaren ada yg 100rb dapet 5 novel, ada lagi yg 40rb dah dapet 3 novel",D
2028,"
Resto favorit",D
2029,"
Suka banget ama pasar buku wilis. Banyak buku bekas tapi masih layak dibaca. Lumayan harga nya juga murah",D
2030,"
Koleksi lengkap",D
2031,"
Tempat beli buku bekas dengan harga yang cukup murah, kadang kalau bedjo bisa dapet berlian diantara sampah...",D
2032,"
Bagus",D
2033,"
Sangat Membantu",D
2034,"
Pasar buku yg lengkap dan harga bersahabat(bisa ditawar)",D
2035,"
Mantap",D
2036,"
Buku lengkap dan banyak pilihan tetapi harus pintar menawar karena penjual pertama mematok harga biasanya sangat tinggi",D
2037,"
Lumayan banyak sekali buku.",D
2038,"
Semua jenis buku bekas maupun baru ada disini harga juga terjangkau sangat membantu sekali tempat ini",D
2039,"
Sip",D
2040,"
Pasar buku yg bukan hanya menjual buku baru tp juga buku yg lama n kuno kalo kita bisa mencarinya....dr buku yg sdh tdk produksi yg bisa di jadikan koleksi ...mulai dr buku pelajaean sampe majalah pokoknya u urusan perbukuan ada di sini",D
2041,"
Kalo.mau cari buku ...ya disini tempatnya",D
2042,"
Adakah buku teknik sepeda motor injeksi ?",N
2043,"
suka cari kw an disini. pinter2an nawar harga",D
2044,"
Mantap ðŸ‘",D
2045,"
Pasar Buku Wilis Adalah Pasar Buku Yang Memperjual Belikan Buku Buku Baru Maupun Buku Buku Lama",N
2046,"
sip",D
2047,"
Surga nya buku",D
2048,"
Mantul betul pasar ini",D
2049,"
alternative cari buku seken brkualitas d malang kota.
mulai dr kitab jowo betalijamur adam makna sampai kitab khusus betina qurrotul uyyun ada disini...
harga murmer gk sampek jual rumah kok, apalagi jual hargadiri...",D
2050,"
Banyak tersedia berbagai jenis buku",D
2051,"
Lengkap hrg terjangkau",D
2052,"
Tempat beli buku di malang",D
2053,"
Pilihan bukunya lengkap
Murah dan masih bisa dinego sesuai dengan kantong mahasiswa",D
2054,"
Bukunya murah2. Meskipun tergantung kita mampu menawarnya atau tidak",D
2055,"
bersih rapi",D
2056,"
Kalo cari buku pokoknya harus telaten tanya satuÂ² ke penjualÂ² nya.. Bisa ditawar juga kok harga bukunya...",D
2057,"
Toko buku super lengkap...ðŸ˜ðŸ˜",D
2058,"
Jhos",D
2059,"
Tersedia buku keluaran baru atau bekas.... kita juga dapat menikmati jasa sampul buku...Sehingga buku kita tetap bagus.",D
2060,"
Oke lengkap",D
2061,"
Bersih bagus dan murah. Sblum beli harus tau harga asli nya d internet agar bisa nawar",D
2062,"
Mau cari buku, ke siji saja lah.......
Kita bisa main buku, sepuasnya.....",D
2063,"
Harus pinter2 nawar harga kalo d sini..",D
2064,"
Buku bekas mahasiswa dan pelajar",D
2065,"
Harganya terjangkau & bisa ditawar, buku-bukunya lumayan lengkap",D
2066,"
Lumayan lengkap harga terjangkau bisa ditawar juga,pemilik toko ramah banget",D
2067,"
Harganya murah dan nyaman",D
2068,"
Pantas disebut pasar buku, karena referensinya banyak, banyak pilihannya, dan cocok utk anak kuliahan",D
2069,"
Buku disini sangatlah lengkap dan juga murah, dapat ditawar, penjualnya ramah"" :))",D
2070,"
bagus banget",D
2071,"
cocok untuk keperluan Sekolah..buku bekas dan baru",D
2072,"
Untuk menambah ilmu harus rajin membaca diluar kemampuan yg di berikan oleh Tuhan",D
2073,"
Pusat buku kota malang",N
2074,"
Terlengkap",D
2075,"
Rapi",D
2076,"
Buku lengkap dan harga terjangkau",D
2077,"
Every time pulang kampung cari lengkapi koleksi, sayang skrng yg buka 35% nya",D
2078,"
Cukup ideal u anak sekolahan/ kuliah",D
2079,"
Mau tanya selama lockdown ini apakah toko Wilis tetap buka ???",N
2080,"
Toko sangat rapi kualitas bagus",D
2081,"
Banyak buku murah",D
2082,"
Pasar buku langganan dan rekomendasi dari dan untuk para mahasiswa Kota Malang. Untuk mencari-cari buku paket, kuliah, bahkan buku Gramedia juga dijual disini dengan harga yang lebih minim,

Tentunya disini, kalian dituntut untuk bernegoisasi dan pintar memilah mana produk yang asli dan palsu, jujur ada beberapa pengalaman di mana saya dapat buku yang tidak sesuai dengan harganya. Tidak masalah, pintar nawar dan negoisasi aja",D
2083,"
Idola buat belanja buku untuk yg uangnya pas2an plus tempat parkir luas jadi ngga ribet",D
2084,"
salah satu tempat rekomendasi bagi adek, kakak, ibu, bapak, kolektor yang menggemari buku, di sini tersedia banyak sekali berbagai buku dari komik, novel, buku pelajaran, Al- Quran, Buku cerita dan Buku buku referensi untuk mahasiswa, dijamin dah komplit dari buku yang sudah lawas sampai yang terbaru bisa ditemukan di sini, tempatnya sangat luas dan disediakan mushola juga loh, di sini juga bisa review bukunya sebelum dibeli, tempatnya juga tidak jauh dari jalan raya, harganya sungguh murah meriah apalagi kalau borong bnyak buku pasti dapat diskon dah, sangat rekomendasi pokoknya.
pelayananya sangat ramah, walau memang bekas tapi buku masih sangat layak untu dibaca kembali. area parkiranya ada yang menjaga, jadi bisa tenang dalm membeli buku.",D
2085,"
Tempat yg cocok buat nyari buku referensi kuliah. Ada macam2 buku, buku kuliah ataupun buku lainnya. Tinggal pintar2 nawar aja",D
2086,"
Mantap :) Berkah",D
2087,"
Pusat penjualan buku di kota malang. Buku baru ataupun bekas ada disini",D
2088,"
Pasar buku bajakan.",TD
2089,"
Tempat jualan buku yg lengkap di kota malang",D
2090,"
Cari buku sejarah yg lengkap disini tempatnya",D
2091,"
Tempat ini cocok untuk mencari buku buku kuliah atau buku lawas dengan harga murah. Bukunya kebanyakan memang bajakan, tapi banyak pula buku lama yg dijual tapi harganya murah. Kadang harus bisa tawar menawar dengan pedagang nya.",D
