no,ulasan,entity,GT
50,"Taman sejarah pertama kali Aku kenal sama cewek.
Ketemunya dan Nembaknya cewek di taman ini.
Keren banget",Taman Merjosari,N
51,Pingin kesana lg bersama tercintakuðŸ˜˜ðŸ˜˜,Taman Merjosari,N
52,"Taman Merjosari tempatnya dekat dengan pusat kota sehingga mudah diakses. Fasilitasnya lengkap, mulai dari track untuk pejalan kaki, area untuk olahraga, kebun, dan taman untuk anak-anak. Banyak kucing di taman. Tempatnya biasanya ramai di sore akhir pekan. Sekitar taman juga ada beberapa vendor makanan kaki lima.",Taman Merjosari,D
53,"Tempat olah raga, rekreasi cukup nyaman untuk keluarga ataupun teman",Taman Merjosari,D
54,Sejuk dan kuliner melimpah,Taman Merjosari,D
55,indah dan asri.,Taman Merjosari,D
56,"Ada gazebo, lapangan basket, dan beberapa tempat duduk",Taman Merjosari,D
57,"Selain sebagai Ruang terbuka hijau,taman singha juga sebagai pusat njajan murah meriah.tinggal pilih saja....",Taman Merjosari,D
58,"Taman Singha Merjosari menjadi salah satu taman yang sering saya kunjungi. Selain tempatnya yang dekat dengan kampus, tempat ini juga menyediakan beberapa fasilitas yang bisa kita gunakan secara free seperti tempat fitnes ala2, tempat berbatu untuk refleksi kaki, halaman cukup luas untuk main bulutangkis dkk, dan ada skybike nya juga. Di dekat taman juga ada masjid dan warung-warung makan. Paling suka kalo jogging dan kerja kelompok di sini.",Taman Merjosari,D
59,Tempat ini tidak terawat banyak tempat yang sudah tusak,Taman Merjosari,TD
60,Tempat tengah kota yang cocok untuk bersantai dan ber olahraga,Taman Merjosari,D
61,"Tempat buat olaraga ,banyak fasitas seperti area basket ball, skateboard+Bmx",Taman Merjosari,N
62,Tempat nya nyaman dan indah,Taman Merjosari,D
63,Sering kesana buat latihan fisik. MantappðŸ‘,Taman Merjosari,N
64,Sejuk... kebersihan lumayan,Taman Merjosari,D
65,ok lah,Taman Merjosari,N
66,lumayan,Taman Merjosari,D
67,Joging di sini asyik jg...,Taman Merjosari,D
68,Adem,Taman Merjosari,D
69,"Sejuk, bersih",Taman Merjosari,D
70,Lumayan,Taman Merjosari,D
71,"Banyak yang jualan makanan di sekitar, taman nya bisa dibuat main skateboard",Taman Merjosari,D
72,"Tempat joging yg kondusif, gak terlalu ramai.
Sayang track nya beberapa udah gk nyaman dilewatin. Sky bike nya juga udah gk beroperasi lagi ðŸ˜ž",Taman Merjosari,TD
73,Enak enak mantap,Taman Merjosari,D
74,"Fasilitas udah bagus lah walaupun sebagian rusak 
Kang parkir epriwer dan gaada karcisnya, sungguh menjengkelkan",Taman Merjosari,TD
75,Cocok,Taman Merjosari,N
76,"Perawatan nya kurang, tempat santai/pendopo nya banyak semurnya harap di kasih obat semut biar ilang semutnya trimakasih",Taman Merjosari,TD
77,"Tempat olahraga keluarga yang nyaman
Tempat kumpul - kumpul yang asri
Tersedia PKL dengan bermacam menu",Taman Merjosari,D
78,"bersih, sejuk, cocok buat keluarga",Taman Merjosari,D
79,"Seru, rindang, nyaman buat olahraga.. Baik sepakbola maupun jogging kecil-kecilan.. Ada wifi juga dan dekat dengan tukang jajan maupun warung makan.. Komplit",Taman Merjosari,D
80,Tempat olahraga gratis keringetan,Taman Merjosari,D
81,"Sarana refreshing gratis, murah meriah",Taman Merjosari,D
82,Sangat memuaskan,Taman Merjosari,D
83,Tempat tujuan berolahraga dan berwisata jajanan,Taman Merjosari,D
84,Bagusss,Taman Merjosari,D
85,Cara membuat kue bolu,Taman Merjosari,N
86,Bagud,Taman Merjosari,D
87,"Tempatnya luas, sejuk, nyaman, arena bermain, dan olah raga cukup memadai, asik untuk refreshing bersama keluarga, toilet dan tempat sampah jumlahnya dah mencukupi",Taman Merjosari,D
88,Cocok untuk olahraga . Banyak pohonnya. Teduh.,Taman Merjosari,D
89,Cocok untuk berolahraga ringan. Sayangnya banyak alat olahraganya yang udah rusak.,Taman Merjosari,TD
90,Penerangannya kalau malam kurang,Taman Merjosari,TD
91,Mie ayam Solo di situ enak,Taman Merjosari,D
92,Taman yg indah dan nyaman,Taman Merjosari,D
93,Kamar mandinya bau... Jogging track kecil dan kurang terbuka (tidak tersinari matahari secara langsung)...,Taman Merjosari,TD
94,Suka bisaa nge-gym gratis ðŸ˜‚,Taman Merjosari,D
95,Bersih rindang banyak pepohonan,Taman Merjosari,D
96,NYaman,Taman Merjosari,D
97,Tamannya bersih. Suka banget pokoknya,Taman Merjosari,D
98,"Nice place buat jogging di pagi hari. Banyak kucing, kalau bawa makanan jangan lupa dibagiinðŸ˜…
Kamar mandinya tolong dijaga kebersihan dan keharumannyaðŸ¤§",Taman Merjosari,TD
99,Baik,Taman Merjosari,D
100,"Taman Singha Merjosari merupakan taman yang terletak di Jalan Mertojoyo Selatan, kelurahan Merjosari, Malang. Dapat dikatakan bahwa taman ini memiliki fasilitas yang sangat lengkap. Keberadaannya yang sangat dekat dengan pemukiman warga membuat taman ini selalu ramai dikunjungi khususnya pada hari-hari libur.
Menurut keterangan yang ada, taman Singha Merjosari merupakan taman kotayang dibangun dengan konsep kriteria taman kota hijau. Taman yang rencananya mencapai luas 29.012 m2 ini, bertujuan untuk  memenuhi amanat UU Penataan Ruang, sebagai sarana interaksi sosial budaya, tempat bermain dan belajar bersama menuju kehidupan lestari. Menjadikan taman memiliki keseimbangan fungsi ekologis, hidrologis, kesehatan, sosial, ekonomi dan kesehatan.

Berlari di Taman Singha Merjosari

Mayoritas pengunjung yang datang ke taman ini, bertujuan untuk berlari. Hampir setiap pagi dan sore pasti banyak pengunjung yang berlari mengelilingi taman ini. Luas taman yang cukup besar serta dibuatnya jalan yang melingkari tepi taman, membuat hal itu menjadi fasilitas tersediri bagi para pengunjung untuk bisa berlari di taman Singha Merjosari.

Aktivitas Gym di Taman

Setelah selesai berlari biasanya pengujung melanjutkan variasi olahraga menggunakan alat-alat yang telah disediakan di taman ini. Pengunjung tidak perlu pergi ke tempat gym untuk dapat menikmati sensasi berolahraga dengan alat-alat gym.
Di taman ini ada tempat yang menyediakan fasilitas untuk pengujung dapat berolahraga layaknya di tempat gym. Namun pengunjung harus sedikit bersabar, sebab akan banyak pengunjung lain pula yang ingin menggunakan tempat ini, sehingga wajar jika tepat ini selalu ramai digunakan oleh pengunjung

Gazebo Tempat Bersantai

Di taman ini juga berdiri beberapa gazebo yang bisa digunakan oleh pengunjung untuk bersantai sembari menikmati indahnya taman Singha Merjosari. Gazebo ini juga biasa digunakan pengunjung sebagai tempat untuk ngopi dan makan-makan. Hal ini tidaklah aneh, banyak toko di sekitar taman Singha Merjosari yang menjual berbagai makanan dan minuman.",Taman Merjosari,D
101,"Nyaman, anak2 suka",Taman Merjosari,D
102,Sejuk dan wisata kuliner,Taman Merjosari,D
103,Kereeeeennn....murah lengkap nyaman,Taman Merjosari,D
104,Tempat yg nyaman buat jogging,Taman Merjosari,D
105,Kurang terawat tamannya,Taman Merjosari,TD
106,"Sejuk udaranya, tidak terlalu padat untuk sore hari",Taman Merjosari,D
107,Banyak yg bisa dilakukan di sini.,Taman Merjosari,D
108,Apik dan membantu,Taman Merjosari,D
109,Sarana dan prasarana kurang terawat,Taman Merjosari,TD
110,Joss,Taman Merjosari,D
111,Tanaman,Taman Merjosari,N
112,Sejuk... Nyaman... Tp krg dirawat... Sayang banget...,Taman Merjosari,TD
113,Lumayan lah buat santai sejenak,Taman Merjosari,D
114,"Bagus tamannya, ada mini gym juga yang bisa digunakan untuk berolahraga
Cocok untuk bersantai dengan keluarga dan orang yang disayang",Taman Merjosari,D
115,"Dulu bagus banget sekarang udah mulai banyak fasilitas yg rusak, dan berangsur angsur lama",Taman Merjosari,TD
116,Kurang terawat....Andaikan Walikota tetep Abah Anton... Thanks Abah Anton,Taman Merjosari,TD
117,enak,Taman Merjosari,N
118,"Kebersihan kurang sekali, meskipun sdh bnyak petugas bersih2 to kurang maksimal sehingga banyak sampah2 dimana2 ....",Taman Merjosari,TD
119,"Taman publik yg cocok utk refreshing. dilengkapi dgn fasilitas jogging track,  skate board arena, mini lap. basket dan bersebelahan dgn lap. sepakbola. Dan banyak penjual makanan di sekitar",Taman Merjosari,D
120,"
Family and alone place banget. Mau olahraga atau duduk2 di sini doang juga nyaman. Di sekitarnya banyak orang jualan makanan dan jajanan.

Tamannya luas enak buat keliling jogging. Rumput2nya enak juga buat grounding. Banyak kucing2 lucunya hehe.",Taman Merjosari,D
121,"
Tempat asik buat momong anak kalo sore",Taman Merjosari,D
122,"
Lumayan bersih untuk kegiatan olahraga",Taman Merjosari,D
123,"
Enak sekali buat nongkrong",Taman Merjosari,D
124,"
Taman yg nyaman untuk olahraga atau bersantai di tengah ramainya kota malang. Ada banyak fasilitas di dalamnya, seperti arena skateboard, outdoor gym area, taman lalu lintas, gazebo, dan lahan parkir. Taman ini dekat dengan lapangan terbuka dan masjid",Taman Merjosari,D
125,"
bagus",Taman Merjosari,D
126,"
sangat menyenangkan penuh dengan taman bunga yang terawat, tempat olahraga dan kebersihan terjaga selaluðŸ‘ðŸ¼, Alhamdulillah",Taman Merjosari,D
127,"
mantab burgernya",Taman Merjosari,D
128,"
Lengkap dn nyaman sekali.",Taman Merjosari,D
129,"
Tempatnya asik buat keluarga, didekatnya ada warung2 ada tempat buat duduk2 semacam gazebo, ada arena bermain skateboard.
Suasannya asik, lumayan rindang juga.
Tempat parkir roda 2 dan roda 4 tersedia.",Taman Merjosari,D
130,"
Ruame,, wurenak pol polan tempate",Taman Merjosari,D
131,"
Tempatnya enak buat olahraga ringan",Taman Merjosari,D
132,"
Sering mengajak anak jalan2 ke sana dan asri",Taman Merjosari,D
133,"
Nyaman buat olahraga",Taman Merjosari,D
134,"
Asik dan nyaman buat refresing, cuman ada beberapa titik yg perlu direnovasi",Taman Merjosari,TD
135,"
Senang",Taman Merjosari,D
136,"
Sangat Cocok sebagai Tempat Udara Segar dipagi hari",Taman Merjosari,D
137,"
Taman yg enak buat olahraga, ckup byar parkir.. skelilingnya bnyak jual mkanan sma minuman",Taman Merjosari,D
138,"
Pernah ke sini, tempat yg ideal buat olahraga dan tempat bermain anak2..",Taman Merjosari,D
139,"
Sehat jasmani inshaAllah sehat rohani",Taman Merjosari,N
140,"
Jeren",Taman Merjosari,D
141,"
Tempatnya rindang, cocok bgt buat refreshing dan olahraga ringan. Namun sayangnya pas malam hari suka bgt dimanfaatin sama pasangan muda buat ena ena soalnya lampu dan penataan penerangan yang ga rata malah menghasilkan banyak bayangan bayangan gelap gtu...
Mana ga ada satpam atau pengawas nya lagi wkwkw",Taman Merjosari,TD
142,"
Taman luas, fasilitas masih terjaga, banyak peralatan olahraga, asri, bersih",Taman Merjosari,D
143,"
TempAt ini sangat seru",Taman Merjosari,D
144,"
Enak buat jogging",Taman Merjosari,D
145,"
Numpang lewat beli crepes sama sate telur, masih banyak jajanan lain juga disini, mantap",Taman Merjosari,N
146,"
Rame tapi enak teduh banyak pohon dan fasilitas olahraga umum",Taman Merjosari,D
147,"
Bisa buat jogging dan main skateboard",Taman Merjosari,D
148,"
Suasana nyaman, rindang, asri,",Taman Merjosari,D
149,"
Cukuplah untuk bermain outdoor",Taman Merjosari,D
150,"
Taman kumpulnya anak anak muda ,",Taman Merjosari,D
151,"
Sabi lah pokok e",Taman Merjosari,D
152,"
Asri tempat nya.",Taman Merjosari,D
153,"
hunian yg sejuk",Taman Merjosari,D
154,"
mbois",Taman Merjosari,D
155,"
Asri bagus untuk sekeluarga",Taman Merjosari,D
156,"
Tempat yang tenang",Taman Merjosari,D
157,"
taman",Taman Merjosari,N
158,"
Tempat yg sejuk, aman buat anak anak bermain",Taman Merjosari,D
159,"
Sebuah taman bermain umum anak dan aktifitas olarga warga sekitar yang terletak di kawasan dinoyo berdekatan dengan pasar merjosari,universitas UIN malang.",Taman Merjosari,D
160,"
Pelayanan ramah",Taman Merjosari,D
161,"
Bagus",Taman Merjosari,D
162,"
Tempatnya bagus, nyaman dan sejuk. Cocok buat keluarga",Taman Merjosari,D
163,"
Asri dan sejuk ditengah panasnya kota malang",Taman Merjosari,D
164,"
Juoosss",Taman Merjosari,D
165,"
View bagus saat berolahraga",Taman Merjosari,D
166,"
Tempat yg nyaman buat jalan2, kongkow dan bersantai",Taman Merjosari,D
167,"
Taman nyaman, fasilitas memadai",Taman Merjosari,D
168,"
Tempat yang cukup nyaman untuk bersantai dan berolahraga bersama keluarga...Juga merupakan paru-paru untuk daerah Merjosari dan sekitarnya...

Tuladha pernah pameran disini pada event Tazokraf Dinas Pariwisata...",Taman Merjosari,D
169,"
Hijau seger, hutan kota yang bagus",Taman Merjosari,D
170,"
Tempat pacaran gk pake mahal, hahayyyyy",Taman Merjosari,D
171,"
Enak buat olahraga dan bersantai waktu sore",Taman Merjosari,D
172,"
Sering di gunakan mesum",Taman Merjosari,TD
173,"
Bisa latihan fitness",Taman Merjosari,D
174,"
Nyaman untuk berolahraga bersama keluarga....aayang aelama pandemi kurang terawat",Taman Merjosari,D
175,"
Istimewa",Taman Merjosari,D
176,"
Banyak kucing nya, saran kalau ke sana membawa makanan kucing ðŸ¤£ðŸ¤£",Taman Merjosari,N
177,"
Tamannya sedikit kurang terawat",Taman Merjosari,TD
178,"
Semoga track untuk lari nya segera dibenerin. Soalnya sekarang mulai banyak yg rusak dan tidak rats",Taman Merjosari,TD
179,"
Tempatnya sangat strategis pinggir jalan,banyak restonya di pinggiran tamannya..tempat kumpulnya muda mudi ,emang tempatnya sangat bagus..",Taman Merjosari,D
180,"
nyaman untuk buat mencari keringat, fasilitas olahraga juga lumayan bagus",Taman Merjosari,D
181,"
Wahana bermain kurang",Taman Merjosari,TD
182,"
biasa buat jogging, mantep slur",Taman Merjosari,D
183,"
Cocok untuk anak2",Taman Merjosari,D
184,"
Ada Taman Lalulintas untuk anak-anak",Taman Merjosari,D
185,"
Asyik buat nyantai dan olahraga",Taman Merjosari,D
186,"
Tempatnya cukup memuaskan, apalagi buat anakÂ²",Taman Merjosari,D
187,"
Cocok buat nongkrong",Taman Merjosari,D
188,"
Angin semilir,, pohonÂ² yg rindang,, enak buat menghabiskan waktu di hari minggu,, banyak gazebo juga.. Ada tempat olahraga jga bagi yang mau olahraga..",Taman Merjosari,D
189,"
Tempat yg Nyaman Untuk berolah Raga Meski Kurang terawat",Taman Merjosari,TD
190,"
Taman kota yang terletak di daerah merjosari malang",Taman Merjosari,D
191,"
Ada fitness nya, Alhamdulillah",Taman Merjosari,D
192,"
Teduh..ðŸ‘ŒðŸ‘ðŸ‘",Taman Merjosari,D
193,"
Tempatnya sejuk, akan tetapi kurang terawat, jadi banyak rerumputan yang sudah menjalar tinggi,,
Di sekitaran Taman juga banyak warung yang tersedia,,
dan salah satu spoot yang menarik pengunjung adalah lokasi skateboard",Taman Merjosari,D
194,"
Taman murah kota malang. Cuma bayar parkir aja. Enak buat joging. Ada temoat olahraganya juga",Taman Merjosari,D
195,"
Arena untuk berolahraga paling nyaman dan gratis ditengah kota",Taman Merjosari,D
196,"
Terlallu baanyak nyamuk",Taman Merjosari,TD
197,"
tempatnya tidak terawat",Taman Merjosari,TD
198,"
Taman paling deket sama kost bisa buat destinasi kalo lagi pengen keluar
Banyak yg jualan jajan sekitar taman
Ada wahana buat olahraga",Taman Merjosari,D
199,"
Arena lomba Gantangan Saya khusus nya di kelas Kenari isian...",Taman Merjosari,N
200,"
Taman",Taman Merjosari,N
201,"
Sangat nyaman",Taman Merjosari,D
202,"
Bisa berolahraga dan berjalan",Taman Merjosari,D
203,"
Asyik buat olahraga",Taman Merjosari,D
204,"
Tempat yang asyik",Taman Merjosari,D
205,"
Fasilitas publik yang keren banget awalnya, tqpi makin hari makin memprihatinkan karena kurangnya perawatan. Juga edukasi lingkungan yang bersih gak pernah jadi prioritas warga yg menggunakan fasilitas ini untuk olahraga dan rekreasi. Terkadang sedih ketika mengingatkan untuk tidak buang sampah sembarangan namun dijawab kan sudah ada yg tugasnya bersih2 di taman ini.",Taman Merjosari,TD
206,"
Rapi dan bersih",Taman Merjosari,D
207,"
Bagusss",Taman Merjosari,D
208,"
Nice place for work out and family time. Pokoknya rekomen deh terawat dan cukup bersih untuk tempat seramai ini",Taman Merjosari,D
209,"
Tempat hiburan masyarakat di sekitar merjosari..
Biasa utk aktivitas senam bagi manula,jg utk oleh raga bagi masyarakat.
Dsini ada tempat utk bermain skateboard",Taman Merjosari,D
210,"
Cocok buat olahraga pagi",Taman Merjosari,D
211,"
Nyaman",Taman Merjosari,D
212,"
Ruang terbuka hijau yang ramah untuk anak, banyak fasilitas yang bisa digunakan, salah satunya: taman lalu lintas, taman bermain, dan fasilitas fitness sederhana. Tapi beberapa fasilitas kurang terawat.",Taman Merjosari,D
213,"
Mantabs",Taman Merjosari,D
214,"
Kondisi kurang terawat, padahal lumayan banyak pengunjungnya walau masa pandemi seperti ini... apa mungkin memang sengaja tak dioptimalkan sampai wabah berakhir dulu...",Taman Merjosari,TD
215,"
Masih dikuasai tukang parkir preman, bangsa ini gak akan maju kalau toilet dan parkir masih bayar",Taman Merjosari,TD
216,"
Lumayan buat jalan2 pagi sama keluarga kecil",Taman Merjosari,D
217,"
Ada tempat untuk olahraga Dan bermain",Taman Merjosari,D
218,"
Tempat yang Asri",Taman Merjosari,D
219,"
Taman Merjosari merupakan tempat untuk rekreasi untuk setiap kalangan dan fasilitas sarana di taman ini sangatlah semuaskan serta di tambah lagi dengan hutan dan panorama suara burung",Taman Merjosari,D
220,"
Tempat yg bagus buat menenangkan pikiran hehe",Taman Merjosari,D
221,"
nyaman",Taman Merjosari,D
222,"
Lumayan bagus disana banyak tersedia tempat bermain, alat fitness manual, tempat skateboard dan arena jogging ada juga lapangan basket",Taman Merjosari,D
223,"
Enak buat nyantai2 sore hari, banyak tempat ngopi juga disekitarnya",Taman Merjosari,D
224,"
mantap hasilnya",Taman Merjosari,N
225,"
Sejuk dan sangat nyaman untuk berolah raga dan bersantai",Taman Merjosari,D
226,"
Nyaman",Taman Merjosari,D
227,"
Sangat jelas",Taman Merjosari,N
228,"
Sayang sekali taman tidak terawat klo hujan genangan air dimana2, pemilihan material untuk pedestrian jg kurang Pas...jd tidak nyaman utk pejalan kaki, pdhl bisa dimaksimalkan karena area nya cukup luas",Taman Merjosari,TD
229,"
Tamannya sejuk",Taman Merjosari,D
230,"
Becek guys saat musim hujan",Taman Merjosari,TD
231,"
Luas dan fasilitas lengkap, tapi kurang bersih / terawat",Taman Merjosari,TD
232,"
taman sigha , taman terletak di merjosari cocok untuk olahraga dan ada juga arena skate bmx dan gantangan kicau mania",Taman Merjosari,D
233,"
Keberihan kurang dijaga",Taman Merjosari,TD
234,"
Padat",Taman Merjosari,N
235,"
Taman yg sejuk dan enak bwt olah raga + tempat olah raga lengkap",Taman Merjosari,D
236,"
Taman Singha Merjosari sangat sejuk dan tempat olahraga lengkap. ðŸ‘",Taman Merjosari,D
237,"
Tempat nya nyaman,teduh,sejuk....",Taman Merjosari,D
238,"
Taman bermain sekaligus berolahraga dengan fasilitas lengkap.Ada tempat fitnes,skateboard futsal,joging,lapangan bola,basket,ayunan, main pasir,juga seluncuran.Toilet gratis,parkir luas.Cuma sayangnya ikon skybike jarang beroperasi",Taman Merjosari,D
239,"
Taman Singha Merjosari merupakan taman di jalan Sigura Gura yang biasa digunakan untuk tempat olahraga. Tempat ini memiliki fasilitas olahraga yang lumayan banyak seperti skateboard, bmx, jogging, fasilitas gym, basket, terapi kaki, lapangan sepakbola, wahana roda kayuh, dll. Pada awal pembukaannya taman ini sangat bagus dan modern namun sekarang sudah banyak rumput rumput liar tumbuh, becek, dan fasilitas kurang diperhatikan. Sehingga membuat kurang nyaman dipandang. Untuk masuk hanya cukup bayar parkir 2ribu akses masuk ada di sebelah utara taman. Jika ingin gratis bisa diparkir di sebelah selatan taman namun keamanan ditanggung sendiri.",Taman Merjosari,D
240,"
Bgs",Taman Merjosari,D
241,"
Enak buat olahraga keluarga, pohon semakin rindang, ada lapangan basket dan arena skate board, banyak juga fasilitas olahraga dan pijat refleksi. Ada gazebo dan free wifi",Taman Merjosari,D
242,"
Taman yang banyak sekali dikunjungi mahasiswa, banyak banget fasilitasnya mulai dari lapangan basket, gym, lapangan lari, skatebooard, dll.

Disini banyak disediakan tempat sampah dan juga tersedia toilet gratis.

Sayangnya fasilitas utamanya yang dicari pengunjung yaitu ""sky bike"" tidak beroperasi dan beberapa fasilitas sudah mulai rusak.

Catatan: Buat yang mau kesini, bisa banget bawa makanan kucing karena banyak kucing liar yang kelaparan.",Taman Merjosari,D
243,"
Tempat Jogging yang asik",Taman Merjosari,D
244,"
salah satu taman yang indah dikota malang cocok untuk olahraga pagi karena terdapat beberapa alat olahraga namun sayangnya kebersihan toiletnya belum cukup baik dan ini butuh kesadaran bagi yang datang ke taman merjosari",Taman Merjosari,D
245,"
Lebih bagus kalau dikelola dengan baik, banyak Rumput liar disepanjang jalan taman dan paving. Kalau dikelola dengan baik pasti akan jadi seperti Alun Alun Kota Batu. ðŸŽ¡ðŸŽ ðŸŽª",Taman Merjosari,TD
246,"
Uwu",Taman Merjosari,N
247,"
Mau chill? Bisa. Mau jajan? Bisa. Mau main basket? Bisa. Mau lari? Bisa. Buat kumpul-kumpul juga bisa. Taman yang cukup bersih.
(Foto diambil tahun 2019)",Taman Merjosari,D
248,"
Nyaman buat olahraga",Taman Merjosari,D
249,"
Nyaman untuk olahraga",Taman Merjosari,D
250,"
Nyaman dan bersih",Taman Merjosari,D
251,"
Joozz, untuk santay pagi atau sore harii...",Taman Merjosari,D
252,"
Kalau pagi sangat sejuk dan rekomended buat olahraga",Taman Merjosari,D
253,"
Taman luas. Di bagian depan ada tempat untuk bermain skateboar. Di belakangnya ada tempat buat bermain basket. Cukup bagus dan aman untuk tempat bersantai atau mengobrol dengan teman. Ada juga alat-alat fitnes di bagian agak belakang taman, beberapa ada yang hilang. Ada juga panduan untuk memakai alat tersebut.",Taman Merjosari,D
254,"
Taman olahraga di tengah kota dgn dkelilingi kampus",Taman Merjosari,D
255,"
Kesini cuman beli jajan karena banyak orang jualan.",Taman Merjosari,D
256,"
Suip",Taman Merjosari,D
257,"
tempat olahraga terdekat dari rumah",Taman Merjosari,D
258,"
Tempatnya bagus sih, cuma seperti tidak terawat saja, tolong pihak terkait untuk segera memperbaiki kembali taman ini... Terima kasih...",Taman Merjosari,TD
259,"
Kumuh, tdk terawat, nggak layak sbg ruang publik",Taman Merjosari,TD
260,"
Taman olahraga terfavorit ðŸ˜",Taman Merjosari,D
261,"
Kurang bersih,terutama ruput Dan daun kering kurang perbaikan,",Taman Merjosari,TD
262,"
Tanamannya gk terawat",Taman Merjosari,TD
263,"
Cocok untuk olahraga nya anak anak sampai dewasa",Taman Merjosari,D
264,"
Bagus.. cocok untuk liburan keluarga...
Harus dijaga kebersihannya... Dan selalu merawat tanaman dan wahana yang ada...",Taman Merjosari,D
265,"
Tempatnya lumayan ramai, orang keluar masuk.
Tapi sedikit prihatin karena banyak pengunjung yang kurangnya patuhi protokol kesehatan seperti masker dan lain sebagainya.",Taman Merjosari,TD
266,"
Tempat menikmati Minggu pagi dengan berolahraga ringan.",Taman Merjosari,D
267,"
Nyaman sejuk asri",Taman Merjosari,D
