no,ulasan,GT
852,"
Stasiun bersih,rapi ,d tengah kota malang",D
853,"
Kota yang sejuk dan menyenangkan",D
854,"
Selalu kangen ksini",N
855,"
Wah makin keren Stasiun Malang! ðŸ¥°",D
856,"
Fasilitas standar dan lokasi yang Strategis",D
857,"
Naik Kereta Api Makin Asik & Seru",D
858,"
Bersih indah rapi dan teratur",D
859,"
tempatnya cukup nyaman dan bersih,",D
860,"
Tempat bagus, pelayanan oke",D
861,"
Cuma tes GeNose",N
862,"
Stasiun di tengah kota Malang",N
863,"
Stasiun besar bagus dan lengkap",D
864,"
Bisa memilih makanan & jajanan, disamping Deket dengan wisata kuliner, ada juga pedagang kaki lima",D
865,"
Bersih dan nyaman",D
866,"
Tempat berkumpulnya atau meetpoint para tourguide gunung semeru dan pemberangkatan ke pasar tumpang",N
867,"
Cargo bisa kirim binatang dll",N
868,"
Tempatnya bersih",D
869,"
Bersih, lokasi strategis, pelayanan lengkap, pengecekan suhu tubuh",D
870,"
Apakah stasiun kota baru selain rapid antigen dan antibodi juga melayani tes rapid genose?",N
871,"
Pingin pergi dgn kereta api, tapi msh takut ngumpul byk orang....",N
872,"
Stasiun malang kota baru..
Nama untuk membedakan stasiun malang kota lama di sebelahnya.
Stasiun naungan DAOP 8 SBY. terletak di ketinggian 444 meter diatas permukaan laut..
Banyak penumpang naik dan turun menggunakan moda transportasi kereta api disini..
Stasiun tipe besar yang mana semua kereta api dari dan ke malang berhenti disini.. terutama para mahasiswa yang kuliah di kampus2 yang berada di daerah Malang.
untuk pelayanan stasiun sangat baik. Kebersihan terjaga.
jaya selalu Perkeretaapian Indonesia.

15 Februari 2021
Muhammad Syaiful
RAILFANS DAOP IX JR..",D
873,"
Kunjungi",N
874,"
Stasiun Ikonik di kota malang, yang pembangunannya sangat masif, Sangat nyaman untuk penumpang Kereta Api, Namun masih perlu peningkatan di ketersediaan area parkir, dan penyesuaian Area transportasi umum supaya bisa menjadi lebih nyaman dan mencegah penumpukan penumpang keluar stasiun",TD
875,"Stasiun Malang (ML), terkadang disebut Stasiun Malang Kotabaru

Merupakan stasiun kereta api kelas besar tipe A yang terletak di Kiduldalem, Klojen, Malang. Stasiun yang terletak pada ketinggian +444 meter ini termasuk dalam Daerah Operasi VIII Surabaya.

merupakan stasiun kereta api terbesar di Kota Malang. Stasiun ini memiliki sembilan jalur kereta api dengan jalur 3 merupakan sepur lurus, tetapi hanya jalur 1â€“5 yang digunakan untuk pelayanan naik turun penumpang.",N
876,"
Sip",D
877,"
Tolong untukrapid test antigen, pengurus nya diharap lebih praktis dan lebih simple untuk menginformasikan alur pendaftaran dan hasil test.
Pengurus yang menginformasikan hasil melalui mic/speaker , bukan cuma dipegang hasilnya menunggu peserta test menanyakan dan menimbulkan kerumunan. Tolong kepala KAI stasiun Malang lebih diperhatikan.",TD
878,"
Dingin",N
879,"
Stasiun bersih",D
880,"
Stasiun minimalis namun fasilitas lengkap, bahkan ada penitipan sepeda motor untuk berhari-hari",D
881,"
tempat asri dan nyaman",D
882,"
Indah indah d bangunan baru",D
883,"
Salah satu stasiun yang tempatnya strategis banget, deket jodipan, alun2, pokoknya kemana2 dari sini itu mudah banget, bisa naik grab, bisa naik bemo atau transportasi umum lainnya. Ada indomart yg deket juga, cuma 8 menit jalan",D
884,"
Bangunan utama wajahnya masih asli..., samping2nya sudah baru...
Stasiun bagian timur sedang dibangun dengan wajah lebih modern...",D
885,"
Tempat yang selalu bikin kangen",D
886,"
Kira-kira seperti ini lah tampak depan Stasiun Malang dipagi hari",N
887,Stasiun kereta api menengah kota ini terletak di tengah kota. Ada toko makanan dan minuman di dalamnya. Orang lokal suka membeli ayam goreng. sebagai bekal makan di kereta Bisa perjalanan dari sini ke Surabaya. atau bisa ke yogya,D
888,"Stasiun Malang Kotabaru memang masih kalah tua jika dibandingkan dengan Stasiun Malang Kotalama yang lebih dahulu berdiri. Namun, stasiun yang dibangun pada tahun 1940 itu memiliki sejarah yang tak kalah menariknya untuk dikuak. Siapa sangka, bangunan stasiun yang terletak di Jalan Trunojoyo, Kecamatan Klojen, Kota Malang, Jawa Timur itu dulunya tidak berada di lokasi seperti saat ini.

Mulai tahun 1879, warga Malang masih menggunakan Stasiun Kotalama yang berada di sebelah selatan, tepatnya di Jalan Kolonel Sugiono, Kelurahan Ciptomulyo, Kecamatan Sukun. Sementara bangunan Stasiun Kotabaru sendiri konon sudah berdiri sejak tahun 1887, namun berada di sebelah timur rel kereta.

Ada dua versi yang menyebutkan mengapa stasiun itu berada di sebelah timur rel. Versi pertama menyebutkan pada masa itu di timur rel terdapat tangsi militer, sehingga stasiun dibuat berhadapan langsung dengan lokasi tersebut. Ada pula yang menyebutkan bangunan Stasiun Kotabaru lama dibuat di sebelah timur rel agar penumpang yang turun bisa langsung menikmati indahnya pemandangan Gunung Panderman di sisi barat stasiun.

Perkembangan Malang sebagai calon kota terbesar kedua di Jawa Timur di era Kolonial Belanda memaksa pemerintah setempat membuat bangunan stasiun kereta api yang baru pada tahun 1940. Tujuannya agar bisa menampung penumpang lebih banyak lagi. Maka, stasiun kereta api yang tadinya di sebelah timur rel dipindah ke sebelah barat rel sehingga dapat langsung menghadap ke arah Lapangan JP Coen. Lapangan yang sekarang menjadi Alun-alun Tugu tersebut kala itu direncanakan sebagai pusat pemerintahan.

Pemindahan bangunan stasiun tersebut disetujui pemerintah pusat 10 tahun sebelumnya, tepatnya pada tahun 1930. Pemindahan bangunan ini juga untuk memudahkan akses menuju Jalan Kahuripan, Jalan Kayutangan, dan Jalan Semeru, yang kala itu dijadikan sebagai titik pusat lalu lintas Kota Malang. Bangunan yang lama akhirnya sekarang menjadi gudang peralatan perawatan kereta api.

Ir. Herman Thomas Karsten selaku Perencana Kota Malang pada saat itu memiliki rencana membuat tata letak stasiun kereta api seperti di kota-kota di Eropa, yakni letaknya berada di pusat kota. Dalam perkembangannya, pada tahun 1983 dibuat pula jalan kembar dari Alun-alun Tugu menuju stasiun, dengan taman kota berada di tengahnya. Tujuannya untuk membuat Stasiun Kotabaru terkesan monumental dan lebih sedap dipandang mata.

Bangunan stasiun Kotabaru ini dirancang oleh Landsgebouwendienst (Jawatan Gedung Negara). Arsitekturnya menggunakan gaya kolonial modern atau yang juga sering disebut sebagai Nieuwe Bouwen. Ciri-cirinya berwarna putih, volume bangunan yang berbentuk kubus, gevel horizontal, dan atap datar. Sementara untuk perancangan teknisnya dilakukan oleh Jawatan Kereta Api sendiri, yang berpatokan pada karya J. van der Eb. Pelaksanaannya dikerjakan oleh sebuah perusahaan biro pelaksana bangunan dan perancangan bernama Algemeen Ingenieurs en Architecten (AIA) yang tenar pada zaman itu.

Stasiun Kotabaru ini memiliki satu keistimewaan lain, yaitu menjadi satu-satunya stasiun kereta api yang memiliki lorong bawah tanah. Lorong tersebut menghubungkan antara peron satu dengan peron lainnya. Struktur dan sistem kontruksi terowongan tersebut juga dibuat dari beton yang tahan ledakan bom dan kedap gas beracun. Berdasarkan sejarah yang ada, liang raksasa itu dibuat untuk mengantisipsi serangan udara musuh, karena di masa itu sedang merebak isu tentang Perang Dunia II yang bakal mengusik kekuasaan Hindia-Belanda di bumi Nusantara. Rancangan konstruksi lorong ini sesuai dengan yang disarankan oleh pihak militer.

Lokasi Stasiun Kotabaru ini bisa dibilang sangat strategis. Stasiun ini terletak tak jauh dari kawasan pusat pemerintahan, gedung Balai Kota Malang, Alun-alun Tugu, Gedung DPRD, kompleks SMA Tugu (SMA Negeri 1, SMA Negeri 3, dan SMA Negeri 4 Malang), Pasar Klojen, dan Markas Kodam V Brawijaya. Baru-baru ini Taman Trunojoyo di seberang stasiun juga selesai direvitalisasi sehingga dilengkapi dengan air mancur dan fasilitas taman bermain untuk anak-anak. Terdapat pula pusat ku",N
889,"
Pelayanan tes Rapid nya baik dan cepat,ramah santuy.. Biaya Rp 85rb proses ga ribet,di ambil sampel darah di uji lab dan menunggu hasil sekitar 15 menit.. And done.",D
890,"
Banyak kenangan datang & berpisah ...",N
891,"
Jadwal malang jogja kpn d mulsi dan saya nyaman sfkali dengan naik kereta spi",D
892,"
Dari kalang mau kemana?",N
893,"
Stasiun bersejarah sepanjang masa. 2020 pembangunan stasiun kota baru dengan wajah baru dengan lahan parkir motor dan mobil semakin besar tepatnya di jl panglima sudirman gedung dibalik gedung lama . mantabbb",D
894,"
Bersih stasiunnya waktu liburan desember 2019,",D
895,"
Tempat kuliner aseek",D
896,"
Nice, rame modern jadwal padat",D
897,"
Ini stasiun kereta api terbesar yang pernah saya singgahi.",D
898,"
dulu teringat kalo antri tiket bisa sampai berjam-jam, setelah ada aplikasi kai access jadi sepi loh loket tiket kereta lokal. hehe",D
899,"
Stasiun besar kota malang yg nyaman,semua jurusan angkot ada,ojek online maupun taxi online,taxi konvensional jg banyak",D
900,"
Naik kereta api tut.. tut.. tutt.. siapa hendak turuutt... ðŸŽµ edisi bolang nyenengin anak. Ada tempat bermain nya loh. Jadi sambil nunggu kedatangan kereta api; anak bermain ndak bosen. Juga ada titik spot foto nya yg kerennn sungguh instagramable. Bikin kamu tambah gayaa ðŸ˜ðŸ¤©ðŸ¥°",D
