no,ulasan,GT
331,"
RS pendidikan yang menerapkan 5S baik dari segi pelayanan medis maupun non medisnya. Tetap dipertahankan dan terus ditingkatkan",D
332,"
Terima kasih saya ucapkan untuk pelayanan P4R yang sudah diberikan ole RSUD Saiful Anwar. Sejauh ini saya puas dan senang arena mendapatkan banyak informasi. Terima kasih",D
333,"
pelayanan terbaik, alat kedokteran canggih, dokter yang menangani sangat kompeten dan juga peduli terhadap pasiennya.",D
334,"
Rumah Kedua yang Luar biasa... terimakasih atas ilmunya bpk/ibu dokter",D
335,"
Alat-alat sangat lengkap",D
336,"
Pelayanan Ramah dan Profesional",D
337,"
pelayanan baik dan petugas sangat ramah..",D
338,"
Ibu saya dari 07.30 ke RSSA, jam 17.00 baru masuk rumah perkara administrasi. Rumah Singosari.",TD
339,"
6 jam di RS, 3 menit konsultasi dr onko, 20 menit Dr. Dalam (yg bikin lama krn dokternya ngetik di hp mulu), sisanya antriiii subhanallah. 6 jam ini blm nebus obatnya.

Memangnya kalau bpjs harus diperlakukan spt ini? Bpjs juga tdk gratis, bayar tiap bulan. Sakit belum tentu sebulan sekali juga.

Kalau mau belajar sabar, bolehlah mampir di sini",TD
340,"
Kamar mandi umum/ toilet umum sangat minim . Dan selalu setiap pagi di tutup atau di kunci . Dgn alasan di bersihkan . .",TD
341,"
RS rujukan di malang",N
342,"
Pelayanannya rawat inap kurang bagus khususnya kelas 3,semuanya lambat,tempat rawat inap juga kurang bersih khususnya toilet yang sangat terbatas,masa fasilitas kesehatan milik pemerintah kalah sama yang milik swasta mohon d koreksi masa bangunan megah d depanya saja",TD
343,"
MENDAPAT PELAYANAN MENGIKUTI PELATIHAN HEMODIALISIS",D
344,"
tempat penyelenggara pelatihan yang sudah terakreditasi dan menyenangkan, dengan seluruh panitia, pemateri & MOT yang kompeten, ramah serta selalu memberikan pelayanan yang terbaik. Semoga Allah memberikan pahala yang berlimpah untuk beliau2nya serta kemudahan, pemahaman, kelulusan, ilmu yang barokah bagi pesertanya. Aamiin",D
345,"
Pelayanan dan fasislitasnya mantap",D
346,"
bagus",D
347,"
Baik",D
348,"
Pelayanan lama banget .. buat saya gak recomended",TD
349,"
Nambah ilmu tentang obat2",D
350,"
Salam sehat, Salam Tangguh, RSSA bisa..",D
351,"
pelayanan buruk dan sangat tidak ramah di beberapa bagian",TD
352,"
Sangat puas dengan pelayanan panitia, dan tim yang terlibat...",D
353,"
sangat menyenangkan",D
354,"
Bagian informasi masalah asuransi tidak ramah sama sekali",TD
355,"
Pelayanan penyakit dalam lama bnget nunggu dipanggil dikter aja bsa 4-5. Jam dirumah sakit lain aja gak slama ini",TD
356,"
mudah dijangkau, strategis tempatnya, petunjuk arahnya sangat membantu",D
357,"
MANTAP MATERINYA SANGAT BERMANFAAT",D
358,"
Suciati Widiyaningsih",N
359,"
Pelayanan nya sangat baik, dokter maupun perawat yang menangani sangat baik dan ramah.",D
360,"
pelayanan ramah dan lengkap fasilitasnya",D
361,"
pelayanan yang berkualitas",D
362,"
update ilmu..",N
363,"
terima kasih sudah berbagi ilmu",D
364,"
Alkhamdulillah bisa bergabung dengan RS provinsi Jatim yg ada d kota Malang sejak tahun 2007. Banyak pengalaman, teman dan ilmu yg didapat dari sini.. semoga tetap jaya..",D
365,"
Pada awal Tahun 2020 saya pertama kali datang ke RS Dr. saiful Anwar malam dalam rangka mewakili stikes yarsi mataram penyerahan mahasiswa profesi Ners untuk praktek klinik selama 1 bulan, saat itu awal awal mewabahnya pandemi covid 19 (korona), kesan yang saya dapatkan adalah Kami diteima dengan baik, acara penyerahannya berjalan lancar dan pegawai rumah sakit terutama pimpinan dan jajarannya ramah dan profesional",D
366,"
Rumah Sakit Umum Daerah Saiful Anwar yang berlokasi di Malang, Jawa Timur ini berkomitmen untuk pembangunan zona integritas, pembuatan diokumen kerja, zona bebas korupsi dan beberapa komitmen lainnya. Beberapa upaya untuk mencapai beerapa hal ttersebut dengan membuat peta proses bisnis; rencana kerja dan kontrol pada SPO.",D
367,"
Thanks RSSA",D
368,"
luar biasa RSSA telah mengadakan Webinar untuk update pengetahuan saya",D
369,"
RSSA Amaziiing",D
370,"
RUMAH SAKIT HEBAT BERSAHABAT",D
371,"
RUMAHSAKITPENDIDIKANYANGKOMPETEN",D
372,"
Materinya bagusðŸ˜Š",D
373,"
tempat yang nyaman aman dan luar biasa keren untuk praktik mahasiswa keperawatan.",D
374,"
sangat bermanfaat, terima kasih",D
375,"
Semoga ilmunya jd bermanfaat buat pasien",D
376,"
Mantaab, semoga terus ditingkatkan pelayanan nya ðŸ‘ðŸ‘",D
377,"
Update berdasarkan keilmuan dan pengalaman di lapangan.
Seminar tentang BLS ini sangat bermanfaat bagi nakes dan masyakat awam",D
378,"
sangat mengedukasi, semoga bermanfaat",D
379,"
rumah sakit terbesar dan ter lengkap",D
380,"
Pelayanannya sangat baik",D
381,"
Pelayanan kesehatan yg sangat berkomitmen",D
382,"
Sukses selalu",D
383,"
SANGAT BAIK",D
384,"
Sangat bagus acaranya",D
385,"
pelayanan sudah lebih baik",D
386,"
Mantap RS nya",D
387,"
Wahana belajar yang komprehensif. Wonderful..",D
388,"
Webinarnya menarik.",D
389,"
RSUD Dr. Saiful Anwar Tempat saya dan mahasiswa saya belajar, menggali ilmu, tempat terbaik mencari pengalaman. pelayanan paripurna bagi pengguna jasa.",D
390,"
Saya sangat puas dengan pemberian materi dan penjelasan nya",D
391,"
Semoga selalu memberikan pengetahuan lagi tentang kesehatan kepada Tim Medis , paramedis, dan non medis.",D
392,"
Sangat bermanfaat",D
393,"
Sangat bermanfaat.",D
394,"
semoga semakin maju dan terdepan",D
395,"
luar biasa dan sangat profesional",D
396,"
mantap",D
397,"
terima kasih ilmunya,,",D
