no,ulasan,GT
746,"
Terminalnya cukup bersih, toilet banyak dan bersih, bus tujuan Jabodetabek mayoritas berangkat siang, tujuan Denpasar dan NTB berangkat sore, tujuan Jogja dan Jateng berangkat selepas maghrib, tujuan Surabaya hampir setiap jam ada. Jika bingung tanyalah orang sekitar, dijamin ramah-ramah. Senang berkunjung ke Malang.",D
747,"
Terminal ini sekarang berbeda dgn yg dulu. Mungkin krn imbas plandemi. Tp tetap hrs bangkit bagaimana cara supaya membangkitkan lagi supaya menjadi terminal yg seperti dulu. Cara pengelolaan mungkin yg difokuskan terlebih dulu",TD
748,"
Selalu kepagian",N
749,"
Mayannnn....",D
750,"
Sekarang baik patas maupun ekonomi ber ac semua",D
751,"
buka normal",N
752,"
Bis cepat, dan nyaman",D
753,"
Bagus",D
754,"
banyak preman",TD
755,"
Lumayan...
Krg rapi..
Krg bersih",TD
756,"
Sangat bagus
Saya dapat ilmu dari kota malang",D
757,"
Kurang maksimal pemakainnya",TD
758,"
Salah satu terminal pintu masuk kota Malang",N
759,"
Tempatnya strategis",D
760,"
Terminal malang pool Dari berbagai Tujuan lots",N
761,"
Yaa terminal nya lymayan bera8h",D
762,"
Bis surabaya buanyak",D
763,"
seru bnget",D
764,"
Wokeehhh",N
765,"
Lumayan padat dan teratur.. hanya kebersihan lingkungan yg ditingkatkan",TD
766,"
Masuk di terminal Arjosari ini ,mau naik ke bus jurusan nya harus naik ke atas lagi. Tidak terintegrasi dg baik , toilet nya juga masih kotor tidak bersih kurang terawat.",TD
767,"
Orangnya ramah*.tempatnya luas",D
768,"
Sering macet jalanya...",TD
769,"
Tempatnya bersih. Dan tempatnya tertata rapi semua",D
770,"
Sangat berguna untuk pemvelian partai atau ecer..harga bersainh",N
771,"
Masih termasuk dalam tahap pengembangan. Semoga kedepannya menjadi terminal bus yg lebih bersih dan tertata.",D
772,"
jos",D
773,"
Bagus",D
774,"
Mantab",D
775,"
Tempat luas dan nyaman ada tour guide nya",D
776,"
Pelayanan bagus n tertib",D
777,"
Ramai",D
778,"
Terminalnya bersih, toiletnya jorok",TD
779,"
Terminal Arjosari Malang. salah satu sarana transportasi dari & akan ke Malang. Fasilitas cukup lengkap akan tetapi utk toilet kurang dijaga kebersihannya",TD
780,"
Ini fasilitasnya udh lumayan lengkap. Ada kamar mandi, tempat ibadah, dan tempat transit busnya juga udh di tata rapi berdasarkan tujuan busnya.",D
781,"
Terminal kotor ,,dan gak teratur,",TD
782,"
Yg jls calon penumpang 99%
Risih dan sangat terganggu
Dengan para org"" yg suka berebut penumpang untuk tawarkan armada mereka....salah satunya saya",TD
783,"
Aman & bersih",D
784,"
Sdikit lebih rapih dibanding dulu",D
785,"
Waktu keberangkatan yang tepat & cepat.",D
786,"
Terminal Arjosari Malang 13.58, dari Blitar Jam 10.00",N
787,"
Bagus",D
788,"
Terminal Arjosari Malang adalah pindahan dari terminal Patimura yang letaknya dekat dengan stasiun kota baru Malang.",N
789,"
Kotor",TD
790,"
Bagus, tp kamar mandi jorok",TD
791,"
Cukup luas, dan fasilitas lumayan lengkap. Cuma untuk toilet fasilitas dari terminalnya kurang memadai.",TD
792,"
Sepi dan kurang tertib",TD
793,"
Masih amburadul",TD
